step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
100,0,0.000015,4.582344,0.856250,1.830996,0.332178,1.048043,1.571584,0.259411,0.281211,0.627520,0.928600,4.120135,30.140198,4.110249,474.748233
200,0,0.000030,3.753281,0.206626,1.557004,0.133799,0.145918,1.497324,0.059680,0.307461,0.268633,0.333904,4.462838,7.517102,4.329852,450.284872
300,0,0.000045,3.579844,0.043733,1.530718,0.109849,-0.132254,1.486170,0.044548,0.317383,0.191299,0.254553,4.380268,6.857767,4.417675,440.955906
400,0,0.000060,3.466250,-0.055151,1.506755,0.088481,-0.287337,1.481991,0.024764,0.321680,0.157031,0.206001,4.318424,4.581491,4.456627,436.727931
500,0,0.000075,3.393906,-0.121982,1.497132,0.080278,-0.404464,1.478331,0.018801,0.321328,0.136201,0.175744,4.145643,4.075205,4.485806,433.515551
600,0,0.000090,3.335938,-0.160747,1.490677,0.076084,-0.473675,1.468077,0.022600,0.334453,0.119780,0.164485,4.091002,4.189729,4.506568,431.148474
700,0,0.000105,3.252187,-0.187314,1.496846,0.072690,-0.520128,1.473799,0.023046,0.336328,0.111152,0.155251,3.998067,3.731532,4.520240,429.475707
800,0,0.000120,3.209062,-0.214688,1.486116,0.069551,-0.568745,1.462064,0.024052,0.335664,0.103506,0.152762,3.927752,3.833340,4.527424,428.426148
900,0,0.000135,3.179531,-0.232842,1.477794,0.067749,-0.601114,1.460852,0.016942,0.337031,0.099722,0.156065,3.754050,3.812252,4.536242,427.225890
1000,0,0.000150,3.181875,-0.240811,1.488491,0.067207,-0.616194,1.464754,0.023737,0.335430,0.094482,0.167118,3.615468,4.570460,4.541021,426.409255
1100,0,0.000165,3.170000,-0.253555,1.486904,0.066309,-0.639951,1.467659,0.019245,0.327852,0.100479,0.161154,3.439822,4.740449,4.546698,425.510233
1200,0,0.000180,3.163594,-0.264863,1.492853,0.065952,-0.661541,1.469367,0.023486,0.328945,0.096216,0.163533,3.316826,5.377491,4.549365,424.894507
1300,0,0.000195,3.172500,-0.268984,1.509416,0.065781,-0.669526,1.460627,0.048789,0.334102,0.089858,0.166384,3.202102,8.299528,4.553554,424.137525
1400,0,0.000210,3.140000,-0.274785,1.478820,0.065439,-0.680374,1.461630,0.017189,0.336523,0.085439,0.167670,3.138162,5.880250,4.557620,423.393478
1500,0,0.000225,3.165313,-0.281079,1.484831,0.065171,-0.692321,1.460326,0.024505,0.334414,0.079595,0.169638,3.001246,6.585543,4.561170,422.698545
1600,0,0.000240,3.193906,-0.282549,1.474148,0.065049,-0.695294,1.452350,0.021798,0.337109,0.080049,0.164828,3.044362,4.188579,4.562954,422.168056
1700,0,0.000255,3.144531,-0.280283,1.488717,0.065068,-0.690795,1.462540,0.026177,0.333906,0.080620,0.162327,2.984843,7.517808,4.566052,421.516600
1800,0,0.000270,3.123125,-0.287744,1.496116,0.064932,-0.705387,1.466464,0.029652,0.334922,0.078660,0.154437,3.027632,11.158990,4.568835,420.894999
1900,0,0.000285,3.139687,-0.289844,1.499875,0.064912,-0.709270,1.460229,0.039646,0.340703,0.078613,0.152540,2.915550,12.862431,4.569603,420.459606
2000,0,0.000300,3.120000,-0.292549,1.498312,0.064795,-0.714694,1.463495,0.034817,0.331055,0.077461,0.151462,2.969080,10.982305,4.570474,420.014773
2000,0.002966,0.004212,0.005131,-0.368722,0.004141,-0.745726,0.067492,0.345215,0.022992,3.045876,0.097415,0.137387
2100,0,0.000300,3.106250,-0.289971,1.486568,0.064653,-0.709482,1.461968,0.024600,0.332891,0.072778,0.155439,3.011607,9.501458,3.256723,588.935652
2200,0,0.000300,3.082187,-0.300811,1.480706,0.064473,-0.730604,1.456900,0.023806,0.338086,0.074678,0.146651,2.891173,15.875346,3.300686,580.586453
2300,0,0.000300,3.087031,-0.296006,1.486470,0.064648,-0.721057,1.463691,0.022779,0.331562,0.068662,0.147825,2.921849,11.361431,3.341306,573.029475
2400,0,0.000300,3.098281,-0.300469,1.503213,0.064668,-0.730475,1.465887,0.037325,0.338750,0.068428,0.147489,2.897262,13.271715,3.379560,566.050005
2500,0,0.000300,3.079844,-0.295996,1.482641,0.064507,-0.721040,1.458141,0.024500,0.343711,0.083501,0.141920,2.958519,9.867112,3.416235,559.485386
2600,0,0.000300,3.060469,-0.303701,1.470874,0.064351,-0.735916,1.450271,0.020604,0.337148,0.081418,0.145214,2.865740,8.350306,3.450703,553.413817
2700,0,0.000300,3.040938,-0.301309,1.473945,0.064302,-0.731210,1.451517,0.022428,0.344687,0.079756,0.145705,2.863776,10.743402,3.483297,547.756935
2800,0,0.000300,3.022500,-0.301289,1.473092,0.064409,-0.731459,1.448919,0.024173,0.351836,0.078657,0.144070,2.852702,11.716634,3.513469,542.578635
2900,0,0.000300,3.039687,-0.305244,1.479126,0.064458,-0.739304,1.450532,0.028594,0.348984,0.077681,0.141745,2.873402,12.855317,3.541939,537.746873
3000,0,0.000300,3.031094,-0.305352,1.479397,0.064458,-0.739629,1.455755,0.023641,0.342266,0.078774,0.140987,2.789724,12.814808,3.569456,533.134455
3100,0,0.000300,3.082031,-0.302549,1.475241,0.064448,-0.733793,1.451217,0.024023,0.345078,0.081221,0.144198,2.696437,11.289152,3.595034,528.877697
3200,0,0.000300,3.024688,-0.307158,1.473365,0.064341,-0.743346,1.452535,0.020830,0.348750,0.072864,0.140815,2.695179,17.622676,3.619877,524.787575
3300,0,0.000300,3.027031,-0.311514,1.469924,0.064265,-0.751757,1.450561,0.019364,0.344727,0.083179,0.140390,2.591196,13.065175,3.643052,520.991780
3400,0,0.000300,2.980469,-0.307578,1.479622,0.064316,-0.743709,1.455700,0.023922,0.340039,0.081279,0.137058,2.648650,24.821871,3.665631,517.327940
3500,0,0.000300,2.971406,-0.303232,1.460642,0.064556,-0.735515,1.441153,0.019489,0.351602,0.088042,0.136170,2.636900,10.622265,3.687120,513.860891
3600,0,0.000300,3.003281,-0.309180,1.472721,0.064214,-0.747033,1.452836,0.019886,0.344727,0.090366,0.136180,2.576871,16.847951,3.707669,510.563392
3700,0,0.000300,2.989375,-0.306279,1.461279,0.064507,-0.741653,1.440632,0.020646,0.354492,0.086555,0.137440,2.512514,18.573187,3.726883,507.483939
3800,0,0.000300,2.963125,-0.305078,1.459941,0.064429,-0.739292,1.440992,0.018949,0.350977,0.087378,0.140577,2.560032,18.385052,3.745704,504.489084
3900,0,0.000300,2.957344,-0.309463,1.465181,0.064253,-0.747290,1.444796,0.020385,0.343555,0.086104,0.136286,2.543850,15.703041,3.763767,501.625042
4000,1,0.000300,2.937969,-0.308340,1.474263,0.064478,-0.745762,1.452528,0.021734,0.343711,0.086328,0.138594,2.534228,13.076289,3.777606,499.346176
4000,0.004933,0.004844,0.005833,-0.373684,0.005227,-0.757821,0.066489,0.340820,0.031342,2.602699,0.086329,0.153015
4100,1,0.000300,3.045781,-0.306387,1.471361,0.064487,-0.741835,1.449654,0.021707,0.343008,0.077695,0.136993,2.562283,18.510653,3.792060,497.003414
4200,1,0.000300,2.936875,-0.307471,1.466554,0.064463,-0.744105,1.446074,0.020480,0.346328,0.079316,0.138484,2.453355,21.733698,3.807420,494.560678
4300,1,0.000300,2.989375,-0.311152,1.467437,0.064292,-0.750920,1.447319,0.020118,0.345664,0.085161,0.135245,2.550792,26.491360,3.822630,492.156844
4400,1,0.000300,2.975625,-0.318008,1.467996,0.064170,-0.764173,1.448318,0.019678,0.342070,0.084194,0.133387,2.576624,15.330187,3.836946,489.886181
4500,1,0.000300,2.927969,-0.309932,1.464619,0.064287,-0.748496,1.443898,0.020720,0.341992,0.087388,0.133969,2.487611,19.266504,3.851048,487.659448
4600,1,0.000300,3.081562,-0.304971,1.478441,0.064380,-0.738740,1.453315,0.025127,0.339297,0.089058,0.133542,2.537653,11.184360,3.864582,485.520416
4700,1,0.000300,3.011719,-0.305195,1.462542,0.064333,-0.739285,1.441866,0.020676,0.346250,0.086528,0.133851,2.527156,21.703749,3.877703,483.447758
4800,1,0.000300,2.902344,-0.309004,1.466946,0.064229,-0.746491,1.445682,0.021264,0.346719,0.092686,0.129400,2.467479,14.964969,3.889971,481.494613
4900,1,0.000300,2.887031,-0.307295,1.469204,0.064326,-0.743719,1.447122,0.022081,0.344648,0.094531,0.134318,2.559209,18.990084,3.902187,479.560137
