step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
100,0,0.000015,8.951250,2.316758,2.405606,0.507539,1.808805,1.711192,0.694414,0.242773,0.614902,0.393616,1.000000,650.573650,2.783294,701.087726
200,0,0.000030,3.802344,0.204546,1.568557,0.142505,0.062038,1.496997,0.071560,0.303164,0.160029,0.181226,1.000000,16.473906,2.913818,669.110670
300,0,0.000045,3.339375,-0.171196,1.527617,0.099448,-0.270684,1.488203,0.039414,0.312617,0.087856,0.130069,1.000000,9.820682,2.958247,658.497987
400,0,0.000060,3.114219,-0.370850,1.520475,0.078799,-0.449635,1.476351,0.044124,0.326133,0.058210,0.107431,1.000000,10.291133,2.983019,652.471043
500,0,0.000075,2.994375,-0.480469,1.509242,0.071772,-0.552247,1.481160,0.028082,0.322539,0.040681,0.098131,1.000000,8.463567,2.996387,649.003744
600,0,0.000090,2.934063,-0.539648,1.510241,0.067900,-0.607543,1.466619,0.043622,0.327578,0.028645,0.092234,1.000000,9.708143,3.006759,646.210848
700,0,0.000105,2.881719,-0.565039,1.491992,0.066440,-0.631532,1.464988,0.027004,0.336016,0.020770,0.089453,1.000000,8.312948,3.013035,644.311681
800,0,0.000120,2.922656,-0.584102,1.508399,0.067305,-0.651627,1.483616,0.024783,0.330703,0.020202,0.087859,1.000000,11.425596,3.018848,642.518756
900,0,0.000135,2.785625,-0.600195,1.494102,0.065508,-0.665858,1.473495,0.020608,0.331094,0.015343,0.095778,1.000000,8.380502,3.022565,641.177340
1000,0,0.000150,2.765938,-0.619922,1.503231,0.065352,-0.685525,1.473121,0.030110,0.329492,0.012491,0.102473,1.000000,9.222298,3.026196,639.857142
1100,0,0.000165,2.748906,-0.628535,1.493902,0.065122,-0.693946,1.463840,0.030062,0.335078,0.011524,0.104424,1.000000,9.866249,3.028471,638.826282
1200,0,0.000180,2.760625,-0.624766,1.500214,0.065024,-0.690248,1.472140,0.028073,0.328828,0.009901,0.105871,1.000000,9.591067,3.031114,637.719331
1300,0,0.000195,2.751875,-0.622754,1.484077,0.065156,-0.688021,1.458926,0.025152,0.339883,0.008809,0.104684,1.000000,9.360550,3.032554,636.866898
1400,0,0.000210,2.744844,-0.633359,1.493535,0.065024,-0.698609,1.462834,0.030700,0.333437,0.009768,0.104118,1.000000,10.186570,3.034541,635.900617
1500,0,0.000225,2.727969,-0.642695,1.478257,0.064795,-0.707510,1.453366,0.024891,0.339023,0.008489,0.102906,1.000000,10.019431,3.036400,634.962382
1600,0,0.000240,2.716406,-0.652422,1.483203,0.064795,-0.717403,1.455914,0.027289,0.336133,0.008170,0.102843,1.000000,10.740089,3.037440,634.196332
1700,0,0.000255,2.769062,-0.635664,1.497839,0.064932,-0.700558,1.469865,0.027973,0.334336,0.008411,0.102280,1.000000,10.309396,3.038394,633.448578
1800,0,0.000270,2.735313,-0.647813,1.496600,0.064844,-0.712820,1.466971,0.029629,0.333516,0.008277,0.103067,1.000000,13.105603,3.039126,632.747805
1900,0,0.000285,2.739688,-0.645977,1.491784,0.064868,-0.710779,1.464455,0.027329,0.337148,0.009238,0.105278,1.000000,13.199175,3.040372,631.940112
2000,0,0.000300,2.728281,-0.643789,1.488224,0.064780,-0.708728,1.462171,0.026053,0.335352,0.007934,0.103474,1.000000,14.169040,3.041064,631.248318
2000,0.004155,0.005176,0.005785,-0.749448,0.004962,-0.754410,0.065128,0.333496,0.024526,1.000000,0.009749,0.098581,6.520676
2100,0,0.000300,2.705156,-0.654297,1.491769,0.064595,-0.718653,1.464393,0.027376,0.330117,0.008732,0.103820,1.000000,13.905981,3.037643,631.410663
2200,0,0.000300,2.688750,-0.656523,1.484752,0.064590,-0.720665,1.459343,0.025409,0.335273,0.008337,0.103111,1.000000,14.503072,3.037816,630.825945
2300,0,0.000300,2.706562,-0.658984,1.480388,0.064648,-0.723694,1.454981,0.025408,0.340234,0.008385,0.103740,1.000000,9.820627,3.038425,630.151133
2400,0,0.000300,2.696719,-0.653828,1.493435,0.064678,-0.718525,1.464994,0.028441,0.336523,0.008119,0.103078,1.000000,14.974634,3.038508,629.585357
2500,0,0.000300,2.691094,-0.660586,1.481804,0.064644,-0.725166,1.455468,0.026335,0.342461,0.008073,0.102447,1.000000,13.747184,3.039005,628.933988
2600,0,0.000300,2.653750,-0.652813,1.482467,0.064575,-0.717557,1.454570,0.027897,0.335273,0.007902,0.103894,1.000000,12.172344,3.039207,628.343673
2700,0,0.000300,2.629375,-0.669395,1.476708,0.064404,-0.733496,1.452145,0.024563,0.341406,0.009352,0.102423,1.000000,16.044800,3.039652,627.703515
2800,0,0.000300,2.624375,-0.676094,1.475952,0.064326,-0.739890,1.449647,0.026305,0.345313,0.008216,0.102877,1.000000,16.674047,3.039789,627.126788
2900,0,0.000300,2.592344,-0.681836,1.470368,0.064517,-0.746226,1.446367,0.024000,0.350156,0.008705,0.102143,1.000000,12.802831,3.040137,626.506768
3000,0,0.000300,2.598594,-0.675430,1.474191,0.064575,-0.739874,1.453362,0.020829,0.339219,0.007855,0.100895,1.000000,13.012084,3.040482,625.887597
3100,0,0.000300,2.619375,-0.661445,1.475752,0.064614,-0.725866,1.448023,0.027729,0.338711,0.008186,0.103182,1.000000,15.646893,3.040552,625.325123
3200,0,0.000300,2.609531,-0.668535,1.481793,0.064341,-0.732800,1.457741,0.024052,0.342539,0.008527,0.102645,1.000000,13.883586,3.040934,624.698427
3300,0,0.000300,2.625469,-0.661523,1.472028,0.064297,-0.725905,1.448636,0.023391,0.344570,0.007938,0.102783,1.000000,16.254013,3.040939,624.149216
3400,0,0.000300,2.608750,-0.671914,1.475171,0.064351,-0.735747,1.451769,0.023402,0.340703,0.008607,0.102586,1.000000,19.675748,3.041200,623.547809
3500,0,0.000300,2.584844,-0.660586,1.469089,0.064595,-0.725393,1.445799,0.023290,0.344961,0.008453,0.103719,1.000000,29.862664,3.041233,622.992978
3600,0,0.000300,2.589219,-0.663965,1.468528,0.064312,-0.728282,1.446845,0.021682,0.345547,0.006514,0.103668,1.000000,18.298878,3.041485,622.393326
3700,0,0.000300,2.606406,-0.675820,1.454039,0.064553,-0.740351,1.434965,0.019074,0.354922,0.007142,0.103425,1.000000,9.140207,3.041513,621.839729
3800,0,0.000300,2.567813,-0.674648,1.460552,0.064390,-0.738834,1.441141,0.019411,0.348125,0.007584,0.101675,1.000000,13.225330,3.041789,621.235317
3900,0,0.000300,2.563281,-0.670820,1.468968,0.064321,-0.735138,1.448715,0.020253,0.340664,0.007463,0.103800,1.000000,32.200044,3.041792,620.686708
4000,1,0.000300,2.559063,-0.676211,1.467531,0.064470,-0.740889,1.447206,0.020325,0.344961,0.007731,0.102756,1.000000,41.604152,3.040311,620.440963
4000,0.002686,0.003902,0.005070,-0.753748,0.003930,-0.757678,0.067243,0.333984,0.022265,1.000000,0.003364,0.101033,8.529398
4100,1,0.000300,2.554688,-0.675156,1.478992,0.064546,-0.739619,1.453808,0.025184,0.341055,0.006930,0.101422,1.000000,13.214763,3.039006,620.158963
4200,1,0.000300,2.548750,-0.665312,1.478554,0.064600,-0.729948,1.451446,0.027108,0.333164,0.007194,0.102683,1.000000,27.312916,3.039192,619.572649
4300,1,0.000300,2.554688,-0.678438,1.474549,0.064414,-0.742245,1.449848,0.024701,0.342461,0.007090,0.101561,1.000000,23.443068,3.039316,618.998846
4400,1,0.000300,2.591875,-0.682187,1.466170,0.064233,-0.746232,1.445954,0.020216,0.346758,0.007377,0.102943,1.000000,13.473893,3.039368,618.439969
4500,1,0.000300,2.496406,-0.677500,1.456052,0.064395,-0.742055,1.438057,0.017995,0.347695,0.007715,0.101683,1.000000,28.999930,3.039548,617.855043
4600,1,0.000300,2.472500,-0.683359,1.467412,0.064478,-0.747788,1.445066,0.022346,0.345664,0.007012,0.102226,1.000000,37.421703,3.039546,617.307160
4700,1,0.000300,2.469531,-0.672813,1.474199,0.064468,-0.737001,1.446016,0.028183,0.343086,0.008405,0.101749,1.000000,31.309823,3.039711,616.725297
4800,1,0.000300,2.525937,-0.668926,1.468756,0.064353,-0.733020,1.446278,0.022479,0.341562,0.008349,0.103270,1.000000,30.500780,3.039665,616.186268
4900,1,0.000300,2.475000,-0.674141,1.468877,0.064404,-0.738206,1.447359,0.021519,0.343164,0.007438,0.103658,1.000000,67.002195,3.039829,615.604822
5000,1,0.000300,2.435156,-0.673555,1.464893,0.064443,-0.737807,1.445762,0.019131,0.345625,0.008553,0.104179,1.000000,33.669021,3.039788,615.064754
5100,1,0.000299,2.560625,-0.670234,1.462477,0.064429,-0.734500,1.442566,0.019911,0.342930,0.007765,0.104318,1.000000,15.223057,3.039358,614.603555
5200,1,0.000299,2.466250,-0.672461,1.471356,0.064580,-0.737309,1.447803,0.023553,0.345508,0.008166,0.103658,1.000000,29.639787,3.039344,614.058001
5300,1,0.000299,2.390156,-0.689766,1.471107,0.064531,-0.753972,1.449691,0.021416,0.342695,0.007340,0.100787,1.000000,30.347855,3.039479,613.482407
5400,1,0.000299,2.399844,-0.685371,1.472173,0.064214,-0.749289,1.450671,0.021502,0.344414,0.006893,0.102062,1.000000,41.025866,3.039436,612.942646
5500,1,0.000299,2.376875,-0.683086,1.466177,0.064487,-0.747235,1.442878,0.023300,0.348945,0.006697,0.101016,1.000000,30.061252,3.039767,612.327632
5600,1,0.000299,2.351250,-0.691328,1.467934,0.064429,-0.755777,1.447492,0.020442,0.346055,0.007625,0.101520,1.000000,18.309406,3.039732,611.786409
5700,1,0.000299,2.382500,-0.681484,1.460778,0.064395,-0.745641,1.441359,0.019419,0.351016,0.007380,0.102612,1.000000,26.804698,3.039867,611.210852
