step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
100,0,0.000015,11.913594,2.334609,2.439013,0.518838,1.815548,2.008763,0.430250,0.203477,0.624961,0.437305,1.000000,1744.414062,1.677195,1163.450278
200,0,0.000030,2.529375,0.266274,1.723987,0.149663,0.116677,1.642192,0.081796,0.308906,0.175322,0.191886,1.000000,20.810728,1.712751,1138.324434
300,0,0.000045,1.969688,-0.194482,1.673472,0.096968,-0.291399,1.633141,0.040331,0.313437,0.091924,0.131011,1.000000,9.846209,1.725262,1129.103870
400,0,0.000060,1.734687,-0.410098,1.648193,0.075806,-0.486004,1.616673,0.031521,0.323867,0.061658,0.107527,1.000000,9.133484,1.731966,1123.770794
500,0,0.000075,1.600703,-0.534102,1.657084,0.067905,-0.602004,1.612834,0.044250,0.335742,0.043997,0.094658,1.000000,12.141683,1.736745,1119.719075
600,0,0.000090,1.525000,-0.599648,1.656746,0.064951,-0.664354,1.622928,0.033818,0.339375,0.031144,0.090388,1.000000,11.259701,1.739202,1117.179342
700,0,0.000105,1.438594,-0.647539,1.664029,0.063931,-0.710988,1.627261,0.036768,0.337539,0.025377,0.088616,1.000000,11.054387,1.741427,1114.794827
800,0,0.000120,1.394219,-0.668281,1.661242,0.063354,-0.731195,1.607661,0.053581,0.343164,0.019277,0.092284,1.000000,11.492422,1.742701,1113.023027
900,0,0.000135,1.358516,-0.691055,1.647327,0.063032,-0.753542,1.607024,0.040303,0.344570,0.015558,0.095118,1.000000,12.132519,1.744037,1111.215246
1000,0,0.000150,1.329609,-0.716797,1.643239,0.062805,-0.779545,1.606640,0.036600,0.343125,0.012625,0.094537,1.000000,12.078093,1.745047,1109.616949
1100,0,0.000165,1.323594,-0.716094,1.634124,0.062720,-0.778796,1.597777,0.036347,0.345586,0.011042,0.099647,1.000000,10.653209,1.745689,1108.254039
1200,0,0.000180,1.301797,-0.738477,1.633462,0.062532,-0.800964,1.601114,0.032348,0.346914,0.010412,0.097097,1.000000,11.675227,1.746195,1106.978145
1300,0,0.000195,1.485703,-0.735469,1.639472,0.063174,-0.798430,1.583006,0.056465,0.354961,0.010327,0.098811,1.000000,11.795168,1.746328,1105.939351
1400,0,0.000210,1.321641,-0.726172,1.630771,0.062681,-0.788783,1.592327,0.038444,0.349609,0.009020,0.097520,1.000000,11.464377,1.746510,1104.870275
1500,0,0.000225,1.282188,-0.744844,1.618632,0.062439,-0.807187,1.583219,0.035413,0.356133,0.009338,0.098600,1.000000,14.055659,1.746922,1103.655548
1600,0,0.000240,1.291016,-0.743242,1.619234,0.062510,-0.805601,1.590599,0.028635,0.347969,0.008846,0.096856,1.000000,13.590510,1.747128,1102.571271
1700,0,0.000255,1.289453,-0.740234,1.622102,0.062488,-0.802888,1.595910,0.026192,0.355078,0.009383,0.098754,1.000000,13.823761,1.747241,1101.546378
1800,0,0.000270,1.282812,-0.751406,1.638011,0.062542,-0.813984,1.595235,0.042776,0.348828,0.008945,0.097302,1.000000,19.173380,1.747239,1100.593377
1900,0,0.000285,1.307031,-0.739609,1.625706,0.062488,-0.802213,1.594853,0.030852,0.343398,0.007861,0.097323,1.000000,15.856929,1.747404,1099.535765
2000,0,0.000300,1.328516,-0.738477,1.653903,0.062446,-0.801005,1.606496,0.047407,0.339297,0.008351,0.097462,1.000000,18.862351,1.747545,1098.493318
2000,0.003675,0.003958,0.005376,-0.846204,0.004292,-0.850495,0.060637,0.325684,0.044701,1.000000,0.007796,0.083137,3.748873
2100,0,0.000300,1.322891,-0.746641,1.622892,0.062378,-0.809222,1.592231,0.030662,0.348633,0.007726,0.095911,1.000000,21.545658,1.745228,1098.997034
2200,0,0.000300,1.308984,-0.750078,1.634295,0.062415,-0.812638,1.604732,0.029563,0.348789,0.007490,0.096317,1.000000,15.853837,1.745412,1097.925816
2300,0,0.000300,1.312656,-0.749375,1.637069,0.062375,-0.811841,1.597415,0.039655,0.345703,0.008602,0.095220,1.000000,30.550695,1.745614,1096.844296
2400,0,0.000300,1.253125,-0.759961,1.626793,0.062278,-0.822251,1.598310,0.028483,0.354297,0.006560,0.094758,1.000000,11.072779,1.745686,1095.844497
2500,0,0.000300,1.260938,-0.745117,1.631104,0.062341,-0.807533,1.596400,0.034704,0.348164,0.007769,0.096300,1.000000,17.311432,1.745892,1094.760549
2600,0,0.000300,1.236484,-0.756016,1.627989,0.062478,-0.818587,1.603706,0.024283,0.348125,0.006617,0.096077,1.000000,21.996895,1.746046,1093.709056
2700,0,0.000300,1.230938,-0.745469,1.618040,0.062478,-0.807992,1.586281,0.031759,0.347852,0.007362,0.093716,1.000000,15.861779,1.746147,1092.691257
2800,0,0.000300,1.263750,-0.753516,1.624998,0.062319,-0.815833,1.593698,0.031300,0.352148,0.006715,0.093457,1.000000,17.665094,1.746163,1091.727114
2900,0,0.000300,1.222187,-0.766914,1.625484,0.062275,-0.829517,1.593951,0.031534,0.349922,0.006858,0.093910,1.000000,15.547577,1.746389,1090.631482
3000,0,0.000300,1.208594,-0.779219,1.621821,0.062207,-0.841536,1.593936,0.027884,0.351133,0.005968,0.094329,1.000000,10.825849,1.746571,1089.563663
3100,0,0.000300,1.248047,-0.774062,1.620763,0.062229,-0.836518,1.591525,0.029239,0.348594,0.006501,0.092689,1.000000,11.658281,1.746901,1088.403644
3200,0,0.000300,1.156758,-0.781484,1.612041,0.062229,-0.843869,1.589495,0.022546,0.352930,0.005561,0.094538,1.000000,10.788629,1.747241,1087.238146
3300,0,0.000300,1.186484,-0.764219,1.625840,0.062397,-0.826835,1.601894,0.023946,0.350078,0.005912,0.094041,1.000000,22.518410,1.747766,1085.958028
3400,0,0.000300,1.219766,-0.755234,1.613874,0.062373,-0.817726,1.586050,0.027824,0.356797,0.006023,0.093739,1.000000,16.659903,1.748155,1084.762828
3500,0,0.000300,1.254609,-0.767773,1.613427,0.062434,-0.830337,1.586371,0.027056,0.356055,0.007139,0.092891,1.000000,15.470132,1.748544,1083.568183
3600,0,0.000300,1.173945,-0.766797,1.598214,0.062187,-0.829117,1.574148,0.024066,0.360352,0.005919,0.092956,1.000000,29.064379,1.748896,1082.397141
3700,0,0.000300,1.159180,-0.769102,1.610203,0.062266,-0.831693,1.583778,0.026425,0.362266,0.006183,0.093151,1.000000,18.230603,1.749264,1081.216542
3800,0,0.000300,1.160430,-0.776406,1.594823,0.062253,-0.838972,1.574518,0.020305,0.363047,0.005757,0.092650,1.000000,29.338652,1.749705,1079.991497
3900,0,0.000300,1.162773,-0.778516,1.595402,0.062258,-0.840991,1.573426,0.021976,0.366016,0.005705,0.094695,1.000000,11.677627,1.749943,1078.892473
4000,1,0.000300,1.118828,-0.767344,1.595315,0.062266,-0.829595,1.572360,0.022955,0.361680,0.006257,0.094255,1.000000,10.850964,1.750052,1077.872664
4000,0.004176,0.004073,0.005238,-0.828252,0.004513,-0.832765,0.060938,0.373535,0.022392,1.000000,0.002893,0.096240,6.696756
4100,1,0.000300,1.093477,-0.771641,1.590761,0.062214,-0.834175,1.569622,0.021139,0.360312,0.005202,0.094252,1.000000,13.792279,1.750220,1076.817204
4200,1,0.000300,1.073086,-0.777461,1.589445,0.062214,-0.839828,1.569787,0.019658,0.358125,0.005877,0.094994,1.000000,15.837069,1.750637,1075.608618
4300,1,0.000300,1.059531,-0.777813,1.580406,0.062300,-0.840189,1.559139,0.021267,0.368359,0.005267,0.093278,1.000000,13.576773,1.750922,1074.481252
4400,1,0.000300,1.134844,-0.771875,1.600939,0.062173,-0.834262,1.579893,0.021046,0.361172,0.005671,0.093627,1.000000,14.091690,1.751464,1073.197399
4500,1,0.000300,1.061758,-0.771523,1.596112,0.062249,-0.833979,1.574050,0.022061,0.364102,0.005209,0.094635,1.000000,23.811893,1.751968,1071.937131
4600,1,0.000300,1.055469,-0.778789,1.595834,0.062236,-0.841486,1.575908,0.019927,0.360859,0.005328,0.093493,1.000000,19.683221,1.752487,1070.669122
4700,1,0.000300,1.032930,-0.782344,1.596019,0.062158,-0.844542,1.570934,0.025085,0.359023,0.005254,0.093971,1.000000,31.812908,1.753005,1069.401862
4800,1,0.000300,1.023125,-0.778594,1.592829,0.062124,-0.841321,1.572878,0.019951,0.361758,0.005392,0.094137,1.000000,16.714912,1.753584,1068.098182
4900,1,0.000300,1.032852,-0.783516,1.584879,0.062100,-0.845595,1.564342,0.020537,0.365898,0.005171,0.093238,1.000000,17.044595,1.754190,1066.779166
5000,1,0.000300,1.050898,-0.783359,1.587997,0.062134,-0.845798,1.566090,0.021908,0.361602,0.004836,0.095205,1.000000,28.792616,1.754697,1065.521128
5100,1,0.000299,1.008594,-0.788867,1.587842,0.062114,-0.851143,1.565090,0.022753,0.363086,0.005496,0.094713,1.000000,16.998823,1.754956,1064.414252
5200,1,0.000299,1.000000,-0.783398,1.595602,0.062156,-0.845699,1.572433,0.023168,0.361328,0.004715,0.095900,1.000000,48.417140,1.755380,1063.207415
5300,1,0.000299,0.953906,-0.788008,1.580187,0.062090,-0.850477,1.558460,0.021727,0.371094,0.004314,0.093084,1.000000,14.827079,1.755739,1062.040737
5400,1,0.000299,0.948320,-0.783828,1.581655,0.062107,-0.846288,1.563514,0.018141,0.364023,0.004034,0.094196,1.000000,22.101333,1.756128,1060.856552
5500,1,0.000299,0.964180,-0.782852,1.585005,0.062300,-0.845388,1.564900,0.020105,0.367461,0.004959,0.095208,1.000000,13.650647,1.756467,1059.702882
5600,1,0.000299,1.124766,-0.782969,1.600869,0.062148,-0.845424,1.579667,0.021202,0.364766,0.004976,0.094510,1.000000,78.728006,1.756893,1058.497378
5700,1,0.000299,1.032852,-0.770820,1.589889,0.062251,-0.833337,1.568768,0.021122,0.362031,0.004930,0.094529,1.000000,19.959229,1.757247,1057.335800
5800,1,0.000299,0.937539,-0.773711,1.589034,0.062058,-0.836047,1.569212,0.019823,0.366797,0.004689,0.095512,1.000000,24.070190,1.757591,1056.180362
5900,1,0.000299,0.921016,-0.784648,1.589794,0.062078,-0.846909,1.573221,0.016572,0.363906,0.005122,0.095015,1.000000,26.755236,1.758039,1054.963273
6000,1,0.000299,0.909219,-0.786563,1.579347,0.062083,-0.848791,1.560931,0.018416,0.364570,0.004606,0.093299,1.000000,10.907048,1.758408,1053.793995
6000,0.003099,0.003368,0.004642,-0.913949,0.003701,-0.917650,0.058277,0.373047,0.018486,1.000000,0.003851,0.096388,7.033412
6100,1,0.000299,0.878555,-0.788906,1.579005,0.062051,-0.851182,1.558886,0.020119,0.365625,0.004994,0.093060,1.000000,12.205187,1.758391,1052.856661
6200,1,0.000299,0.905078,-0.786563,1.585714,0.062036,-0.849198,1.565741,0.019972,0.363750,0.003933,0.093845,1.000000,19.447412,1.758847,1051.635989
6300,1,0.000299,0.963750,-0.791133,1.590551,0.062068,-0.853461,1.570061,0.020490,0.369063,0.004702,0.093664,1.000000,16.595338,1.759261,1050.441122
6400,1,0.000299,0.950977,-0.796836,1.594251,0.061973,-0.859084,1.571999,0.022253,0.361758,0.004821,0.091820,1.000000,26.103008,1.759606,1049.287929
6500,1,0.000299,1.011289,-0.785547,1.575911,0.062139,-0.847796,1.558105,0.017806,0.366641,0.004558,0.093898,1.000000,8.863608,1.759901,1048.165114
6600,1,0.000299,0.885391,-0.790977,1.583584,0.062178,-0.853455,1.564114,0.019470,0.364883,0.004851,0.094186,1.000000,66.263878,1.760257,1047.006118
6700,1,0.000299,0.862383,-0.786445,1.597711,0.062271,-0.848944,1.574031,0.023680,0.366563,0.004958,0.092576,1.000000,17.356069,1.760570,1045.873281
6800,1,0.000299,0.815078,-0.792539,1.576879,0.061975,-0.854827,1.558609,0.018270,0.370234,0.005348,0.094389,1.000000,16.053555,1.760908,1044.726451
6900,1,0.000299,0.816875,-0.791406,1.589159,0.062151,-0.853952,1.568411,0.020748,0.358242,0.004048,0.094496,1.000000,26.161044,1.761186,1043.614758
7000,1,0.000299,0.798320,-0.779883,1.586003,0.062163,-0.842231,1.566270,0.019733,0.358945,0.005328,0.094701,1.000000,143.062318,1.761458,1042.507365
7100,1,0.000299,0.972305,-0.786602,1.589528,0.062175,-0.849106,1.568137,0.021391,0.365078,0.005726,0.092541,1.000000,24.107964,1.761725,1041.403674
7200,1,0.000298,0.750039,-0.796562,1.580772,0.061992,-0.859026,1.562328,0.018444,0.365156,0.004819,0.093362,1.000000,11.961576,1.762008,1040.290507
7300,1,0.000298,0.763633,-0.795273,1.575513,0.062090,-0.857749,1.558509,0.017004,0.364844,0.004603,0.093894,1.000000,21.234906,1.762265,1039.193191
7400,1,0.000298,0.745469,-0.797031,1.565687,0.062046,-0.859607,1.551001,0.014686,0.371758,0.004703,0.093958,1.000000,16.342218,1.762538,1038.086389
