step,loss,real_crps,synth_ed,steps/s
50,-0.057713,0.044857,0.002966,2.963701
100,-0.057226,0.045878,0.002927,3.715851
150,-0.057171,0.045306,0.002963,4.053502
200,-0.058774,0.044482,0.002964,4.247998
250,-0.057532,0.046325,0.002920,4.377621
300,-0.058041,0.045484,0.002881,4.464893
350,-0.058027,0.045064,0.002901,4.531238
400,-0.058268,0.045085,0.002939,4.584009
450,-0.057398,0.046319,0.002914,4.622369
500,-0.057621,0.045009,0.002885,4.654860
500,0.037736,-1.280261
550,-0.057766,0.045414,0.002946,4.661945
600,-0.058104,0.044345,0.002906,4.688706
650,-0.058216,0.045443,0.002888,4.709885
700,-0.058508,0.046249,0.002903,4.729408
750,-0.057673,0.046090,0.002983,4.745566
800,-0.056427,0.045897,0.002929,4.756920
850,-0.057689,0.046341,0.002930,4.771539
900,-0.058009,0.045323,0.002875,4.782567
950,-0.059156,0.043840,0.002880,4.792696
1000,-0.057513,0.045002,0.002935,4.801857
1000,0.037736,-1.280261
1050,-0.058624,0.046054,0.002881,4.802879
1100,-0.057661,0.044930,0.002901,4.809669
1150,-0.057718,0.045988,0.002900,4.816072
1200,-0.058542,0.044671,0.002950,4.822261
1250,-0.056602,0.045431,0.002931,4.826913
1300,-0.058543,0.045573,0.002881,4.832758
1350,-0.056789,0.045192,0.002931,4.838394
1400,-0.057177,0.045311,0.002917,4.842652
1450,-0.057074,0.045153,0.002947,4.846514
1500,-0.057858,0.044719,0.002906,4.850715
1500,0.037736,-1.280261
1550,-0.056775,0.046390,0.002906,4.852493
1600,-0.056923,0.045876,0.002905,4.855929
1650,-0.057074,0.045320,0.002973,4.859218
1700,-0.057138,0.045756,0.002891,4.862629
1750,-0.057953,0.045353,0.002962,4.864781
1800,-0.057645,0.044988,0.002900,4.867616
1850,-0.056837,0.046463,0.002988,4.869962
1900,-0.058161,0.045139,0.002896,4.871989
1950,-0.056952,0.045693,0.002969,4.874099
2000,-0.058279,0.044832,0.002902,4.876207
2000,0.037736,-1.280261
2050,-0.057626,0.044945,0.002919,4.855207
2100,-0.058369,0.044979,0.002918,4.839415
2150,-0.056248,0.046710,0.002906,4.823135
2200,-0.056834,0.045630,0.002919,4.808422
2250,-0.057102,0.045546,0.002936,4.794795
2300,-0.057375,0.045137,0.002932,4.781809
2350,-0.058599,0.045362,0.002938,4.769954
2400,-0.058725,0.045045,0.002902,4.758962
2450,-0.057815,0.046078,0.002933,4.747561
2500,-0.057966,0.044750,0.002942,4.736701
2500,0.037736,-1.280261
2550,-0.057394,0.045056,0.002942,4.725688
2600,-0.058554,0.045063,0.002900,4.715959
2650,-0.057545,0.045915,0.002954,4.706795
2700,-0.057114,0.044903,0.002971,4.697335
2750,-0.056910,0.046581,0.002939,4.689174
2800,-0.057268,0.046032,0.002891,4.681379
2850,-0.057500,0.045425,0.002889,4.673179
2900,-0.055402,0.046996,0.002934,4.665882
2950,-0.057584,0.046386,0.002889,4.658336
3000,-0.056707,0.045801,0.002979,4.651087
3000,0.037736,-1.280261
3050,-0.058980,0.045357,0.002868,4.641520
3100,-0.058230,0.045618,0.002922,4.635003
3150,-0.058884,0.044602,0.002952,4.628222
3200,-0.055596,0.047001,0.002906,4.621642
3250,-0.055847,0.046657,0.002907,4.615638
3300,-0.055586,0.047002,0.002984,4.609799
3350,-0.057189,0.046203,0.002885,4.603958
3400,-0.056143,0.047317,0.002851,4.598294
3450,-0.056963,0.046218,0.002928,4.592286
3500,-0.058789,0.046528,0.002901,4.587076
3500,0.037736,-1.280261
3550,-0.058096,0.044649,0.002892,4.581437
3600,-0.057877,0.045713,0.002928,4.576778
3650,-0.057651,0.045942,0.002871,4.572307
3700,-0.056765,0.045824,0.002953,4.567620
3750,-0.056909,0.046060,0.002919,4.563070
