step,loss,real_crps,synth_ed,steps/s
50,-0.199097,0.046782,0.004417,2.798492
100,-0.204552,0.045243,0.004506,3.456013
150,-0.198240,0.046247,0.004572,3.745743
200,-0.199769,0.046428,0.004467,3.911412
250,-0.204145,0.045115,0.004471,4.020477
300,-0.197914,0.046932,0.004526,4.093992
350,-0.199094,0.045899,0.004493,4.149695
400,-0.197932,0.047247,0.004440,4.193818
450,-0.202363,0.045460,0.004507,4.225726
500,-0.197584,0.046863,0.004491,4.252667
500,0.037583,-1.299469
550,-0.203018,0.045685,0.004450,4.256416
600,-0.198065,0.046847,0.004425,4.278956
650,-0.200764,0.045844,0.004476,4.296790
700,-0.201653,0.046058,0.004458,4.313483
750,-0.199097,0.046475,0.004519,4.327221
800,-0.199197,0.046166,0.004474,4.338486
850,-0.197428,0.047236,0.004527,4.348921
900,-0.198772,0.047159,0.004427,4.357266
950,-0.197937,0.046817,0.004534,4.362761
1000,-0.201656,0.045133,0.004461,4.369849
1000,0.037585,-1.299469
1050,-0.201851,0.045407,0.004536,4.374758
1100,-0.200590,0.046138,0.004421,4.380875
1150,-0.198504,0.046368,0.004491,4.386546
1200,-0.201693,0.045954,0.004407,4.392023
1250,-0.197982,0.046554,0.004590,4.396644
1300,-0.201228,0.045915,0.004449,4.402269
1350,-0.199409,0.046083,0.004484,4.407646
1400,-0.200008,0.046117,0.004442,4.412010
1450,-0.198385,0.046694,0.004502,4.415644
1500,-0.201113,0.045540,0.004512,4.419559
1500,0.037590,-1.299469
1550,-0.204229,0.044957,0.004487,4.421587
1600,-0.198373,0.046584,0.004528,4.424882
1650,-0.194850,0.047487,0.004440,4.428109
1700,-0.200120,0.046311,0.004500,4.431453
1750,-0.200863,0.046009,0.004506,4.432630
1800,-0.198346,0.046658,0.004437,4.434476
1850,-0.199269,0.046170,0.004478,4.436668
1900,-0.201721,0.045632,0.004406,4.438554
1950,-0.197457,0.047016,0.004592,4.440344
2000,-0.200705,0.046005,0.004450,4.442572
2000,0.037583,-1.299469
2050,-0.200835,0.046421,0.004475,4.440554
2100,-0.200820,0.045812,0.004515,4.442859
2150,-0.201641,0.045666,0.004466,4.444948
2200,-0.199860,0.046101,0.004489,4.446530
2250,-0.197151,0.046904,0.004469,4.448215
2300,-0.197898,0.047115,0.004561,4.449907
2350,-0.199729,0.046106,0.004480,4.451636
2400,-0.201305,0.045886,0.004399,4.452634
2450,-0.199277,0.046670,0.004565,4.453880
2500,-0.202987,0.045372,0.004447,4.455054
2500,0.037572,-1.299469
2550,-0.196339,0.047078,0.004517,4.453576
2600,-0.200480,0.046140,0.004424,4.454921
2650,-0.198957,0.045764,0.004519,4.456143
2700,-0.201516,0.045520,0.004504,4.456353
2750,-0.198947,0.046557,0.004506,4.457282
2800,-0.201869,0.045799,0.004479,4.458880
2850,-0.196770,0.047146,0.004497,4.459219
2900,-0.196405,0.047389,0.004462,4.460537
2950,-0.198379,0.046738,0.004435,4.461464
3000,-0.194923,0.047289,0.004582,4.462413
3000,0.037584,-1.299469
3050,-0.198132,0.046882,0.004495,4.463362
3100,-0.197828,0.046576,0.004471,4.464500
3150,-0.198463,0.046205,0.004473,4.465199
3200,-0.197335,0.046512,0.004500,4.465907
3250,-0.202672,0.045756,0.004470,4.466830
3300,-0.193766,0.047904,0.004428,4.467792
3350,-0.196883,0.047348,0.004435,4.468468
3400,-0.196123,0.047288,0.004471,4.469144
3450,-0.195774,0.047631,0.004502,4.470136
3500,-0.194151,0.048140,0.004372,4.470926
3500,0.037603,-1.299469
3550,-0.199512,0.046742,0.004536,4.471185
3600,-0.197678,0.046640,0.004547,4.471832
3650,-0.202386,0.045741,0.004458,4.472359
3700,-0.199236,0.046905,0.004557,4.472735
3750,-0.199750,0.046319,0.004469,4.473245
3800,-0.197050,0.047156,0.004426,4.473056
3850,-0.200901,0.045935,0.004426,4.473806
3900,-0.199519,0.045742,0.004502,4.474524
3950,-0.199503,0.045991,0.004379,4.475282
4000,-0.201736,0.045856,0.004513,4.475921
4000,0.037582,-1.299469
4050,-0.195654,0.046637,0.004500,4.474106
4100,-0.198611,0.045838,0.004415,4.474697
4150,-0.196602,0.047468,0.004481,4.475184
4200,-0.202688,0.045313,0.004474,4.475613
4250,-0.200878,0.045717,0.004554,4.476146
4300,-0.197555,0.046793,0.004468,4.476454
4350,-0.198843,0.046742,0.004478,4.477109
4400,-0.201051,0.046231,0.004520,4.477723
4450,-0.196919,0.047157,0.004508,4.478000
4500,-0.200338,0.046336,0.004491,4.478465
4500,0.037583,-1.299469
4550,-0.195863,0.047477,0.004484,4.478098
4600,-0.197583,0.046677,0.004465,4.478118
4650,-0.201350,0.045842,0.004484,4.478212
4700,-0.201915,0.045564,0.004437,4.478390
4750,-0.202134,0.045386,0.004621,4.478822
4800,-0.197848,0.046807,0.004485,4.479259
4850,-0.202446,0.045766,0.004442,4.479846
4900,-0.196523,0.047342,0.004467,4.480276
4950,-0.196139,0.047726,0.004529,4.480861
