step,loss,real_crps,synth_ed,steps/s,real_frac
50,-0.490291,0.046216,0.003552,3.201186,0.199219
100,-0.498146,0.045094,0.003664,3.746313,0.199219
150,-0.479075,0.047022,0.003553,3.964150,0.199219
200,-0.489520,0.046594,0.003543,4.092002,0.199219
250,-0.506371,0.044442,0.003642,4.160797,0.199219
300,-0.501866,0.046064,0.003563,4.218794,0.203125
350,-0.489549,0.047126,0.003540,4.263157,0.203125
400,-0.505149,0.045726,0.003501,4.294290,0.203125
450,-0.486730,0.047385,0.003519,4.319485,0.203125
500,-0.500318,0.046035,0.003550,4.342604,0.203125
500,0.037717,-1.275562
550,-0.503474,0.045298,0.003556,4.285358,0.203125
600,-0.495679,0.046705,0.003535,4.259889,0.207031
650,-0.499363,0.047085,0.003604,4.239713,0.207031
700,-0.506088,0.047350,0.003516,4.222547,0.207031
750,-0.507054,0.046284,0.003555,4.209112,0.207031
800,-0.512021,0.045768,0.003608,4.195295,0.207031
850,-0.508963,0.045496,0.003550,4.183606,0.207031
900,-0.504684,0.046442,0.003519,4.171238,0.207031
950,-0.516232,0.045625,0.003629,4.162067,0.210938
1000,-0.505063,0.047340,0.003575,4.153983,0.210938
1000,0.037717,-1.275562
1050,-0.511667,0.046080,0.003599,4.145170,0.210938
1100,-0.503144,0.047719,0.003587,4.137944,0.210938
1150,-0.509839,0.046906,0.003480,4.132845,0.210938
1200,-0.507954,0.047267,0.003526,4.128603,0.210938
1250,-0.515239,0.046673,0.003522,4.123467,0.214844
1300,-0.523875,0.045572,0.003564,4.118009,0.214844
1350,-0.528966,0.045132,0.003563,4.113780,0.214844
1400,-0.525443,0.045384,0.003562,4.110029,0.214844
1450,-0.524385,0.046324,0.003560,4.106297,0.214844
1500,-0.517420,0.046485,0.003557,4.103628,0.214844
1500,0.037717,-1.275562
1550,-0.529594,0.045641,0.003543,4.098659,0.214844
1600,-0.526519,0.046301,0.003540,4.096321,0.218750
1650,-0.525576,0.046570,0.003567,4.093912,0.218750
1700,-0.534241,0.045982,0.003555,4.091983,0.218750
1750,-0.532208,0.046333,0.003839,4.091004,0.218750
1800,-0.532477,0.045772,0.003562,4.089738,0.218750
1850,-0.527534,0.046602,0.003579,4.088264,0.218750
1900,-0.531788,0.046086,0.003572,4.086982,0.222656
1950,-0.532910,0.046466,0.003560,4.084792,0.222656
2000,-0.541612,0.045744,0.003632,4.083801,0.222656
2000,0.037717,-1.275562
2050,-0.545276,0.045736,0.003583,4.079058,0.222656
2100,-0.541441,0.045791,0.003595,4.078627,0.222656
2150,-0.536477,0.046210,0.003490,4.078137,0.222656
2200,-0.523877,0.047726,0.003595,4.076922,0.222656
2250,-0.545094,0.046265,0.003524,4.076713,0.226562
2300,-0.548320,0.045953,0.003545,4.076337,0.226562
2350,-0.538417,0.046764,0.003615,4.076138,0.226562
2400,-0.535756,0.046962,0.003554,4.075440,0.226562
2450,-0.548131,0.045746,0.003561,4.075243,0.226562
2500,-0.543440,0.046333,0.003547,4.075349,0.226562
2500,0.037717,-1.275562
2550,-0.554097,0.045921,0.003559,4.074227,0.230469
2600,-0.546138,0.047277,0.003616,4.073798,0.230469
2650,-0.553821,0.046219,0.003588,4.073947,0.230469
2700,-0.555839,0.046255,0.003631,4.073991,0.230469
2750,-0.562652,0.045908,0.003528,4.074756,0.230469
2800,-0.556408,0.046407,0.003603,4.074717,0.230469
2850,-0.562722,0.045452,0.003542,4.074675,0.230469
2900,-0.559999,0.046173,0.003591,4.074775,0.234375
2950,-0.548481,0.047126,0.003578,4.075171,0.234375
3000,-0.560151,0.046792,0.003550,4.075508,0.234375
3000,0.037717,-1.275562
3050,-0.558507,0.046699,0.003560,4.075104,0.234375
3100,-0.554596,0.046819,0.003578,4.075593,0.234375
3150,-0.572188,0.046120,0.003526,4.076180,0.234375
3200,-0.557113,0.046988,0.003575,4.076643,0.238281
3250,-0.577568,0.045931,0.003543,4.077343,0.238281
3300,-0.580467,0.045328,0.003560,4.077967,0.238281
3350,-0.551591,0.047718,0.003595,4.078373,0.238281
3400,-0.589992,0.044661,0.003514,4.079009,0.238281
3450,-0.572760,0.045982,0.003535,4.079387,0.238281
3500,-0.571616,0.045982,0.003570,4.080134,0.238281
3500,0.037717,-1.275562
3550,-0.575585,0.046242,0.003578,4.080096,0.242188
3600,-0.572013,0.046845,0.003504,4.080831,0.242188
3650,-0.584276,0.045573,0.003530,4.081371,0.242188
3700,-0.569415,0.047385,0.003494,4.081962,0.242188
3750,-0.575102,0.046308,0.003570,4.082392,0.242188
3800,-0.559676,0.047729,0.003557,4.082646,0.242188
3850,-0.578200,0.046574,0.003558,4.083118,0.246094
3900,-0.574519,0.047432,0.003549,4.083665,0.246094
3950,-0.581661,0.046996,0.003564,4.083954,0.246094
4000,-0.576004,0.046980,0.003501,4.084909,0.246094
4000,0.037717,-1.275562
4050,-0.583164,0.045991,0.003557,4.083065,0.246094
4100,-0.581006,0.046578,0.003570,4.082726,0.246094
4150,-0.584439,0.046326,0.003587,4.082261,0.246094
4200,-0.598615,0.045441,0.003560,4.082571,0.250000
4250,-0.577028,0.048189,0.003482,4.083372,0.250000
4300,-0.579447,0.047395,0.003631,4.083420,0.250000
4350,-0.572049,0.047713,0.003549,4.083289,0.250000
4400,-0.586340,0.047440,0.003563,4.083893,0.250000
4450,-0.578793,0.047510,0.003569,4.084911,0.250000
4500,-0.578809,0.048042,0.003565,4.085984,0.253906
4500,0.037717,-1.275562
4550,-0.598770,0.047285,0.003520,4.086543,0.253906
4600,-0.596936,0.046841,0.003563,4.087368,0.253906
4650,-0.609239,0.045328,0.003609,4.088291,0.253906
4700,-0.599258,0.046813,0.003579,4.089239,0.253906
4750,-0.597073,0.047033,0.003569,4.090285,0.253906
4800,-0.598983,0.046326,0.003614,4.091087,0.253906
4850,-0.600743,0.046896,0.003551,4.091380,0.257812
4900,-0.603063,0.046722,0.003531,4.091609,0.257812
4950,-0.619657,0.044973,0.003881,4.091483,0.257812
5000,-0.604779,0.046649,0.003570,4.092470,0.257812
5000,0.037717,-1.275562
5050,-0.614296,0.045774,0.003567,4.092661,0.257812
5100,-0.616943,0.045709,0.003580,4.092670,0.257812
5150,-0.602857,0.046385,0.003575,4.093343,0.261719
5200,-0.624465,0.045934,0.003540,4.094201,0.261719
5250,-0.607973,0.047466,0.003628,4.094729,0.261719
5300,-0.631058,0.045432,0.003590,4.095805,0.261719
5350,-0.623832,0.046132,0.003497,4.096554,0.261719
5400,-0.621489,0.045875,0.003539,4.097569,0.261719
5450,-0.610618,0.046927,0.003501,4.098476,0.261719
5500,-0.618428,0.046654,0.003557,4.099571,0.265625
5500,0.037717,-1.275562
5550,-0.629044,0.046404,0.003577,4.100283,0.265625
5600,-0.608141,0.047536,0.003563,4.101366,0.265625
5650,-0.626629,0.046446,0.003563,4.102401,0.265625
5700,-0.621583,0.047292,0.003534,4.103469,0.265625
5750,-0.621552,0.046613,0.003578,4.104331,0.265625
5800,-0.626531,0.046694,0.003586,4.105299,0.269531
5850,-0.641507,0.045728,0.003564,4.106437,0.269531
5900,-0.646694,0.044864,0.003525,4.107649,0.269531
5950,-0.636042,0.046470,0.003577,4.108647,0.269531
6000,-0.634446,0.046270,0.003543,4.109658,0.269531
6000,0.037717,-1.275562
