step,loss,real_crps,synth_ed,steps/s
50,-0.209074,0.046105,0.003997,3.014003
100,-0.212480,0.045367,0.004073,3.499009
150,-0.210021,0.045950,0.004053,3.697047
200,-0.208829,0.045911,0.004089,3.807126
250,-0.213473,0.044870,0.004079,3.877477
300,-0.207314,0.046317,0.004076,3.924040
350,-0.207652,0.046104,0.004204,3.955617
400,-0.211509,0.045610,0.004094,3.982453
450,-0.211713,0.045443,0.004035,4.001402
500,-0.207864,0.046580,0.004050,4.019117
500,0.037996,-1.246055
550,-0.211928,0.045357,0.004129,4.012593
600,-0.209549,0.046008,0.004074,4.025973
650,-0.212728,0.044842,0.004067,4.037006
700,-0.208597,0.046006,0.004090,4.047376
750,-0.205079,0.046464,0.004049,4.053976
800,-0.206254,0.046532,0.004071,4.061942
850,-0.209571,0.046209,0.004196,4.067165
900,-0.205545,0.046871,0.004078,4.070982
950,-0.208486,0.045524,0.004156,4.078647
1000,-0.213072,0.044644,0.004004,4.084556
1000,0.037997,-1.246055
1050,-0.211152,0.045128,0.004132,4.086911
1100,-0.206742,0.046375,0.004099,4.090694
1150,-0.210417,0.045621,0.004009,4.093986
1200,-0.206619,0.046267,0.004100,4.098558
1250,-0.211050,0.045497,0.004047,4.101424
1300,-0.210085,0.045648,0.004032,4.104969
1350,-0.210074,0.045775,0.004111,4.108360
1400,-0.208034,0.045952,0.004138,4.111421
1450,-0.210778,0.045393,0.004179,4.113948
1500,-0.209780,0.045854,0.004050,4.115908
1500,0.037983,-1.246055
1550,-0.211633,0.045119,0.004005,4.112734
1600,-0.208270,0.046375,0.004103,4.114260
1650,-0.208899,0.046325,0.004052,4.116530
1700,-0.211571,0.045337,0.004158,4.117095
1750,-0.206524,0.046508,0.004035,4.118883
1800,-0.208187,0.045846,0.004080,4.119658
1850,-0.209934,0.045625,0.004084,4.120560
1900,-0.209450,0.046268,0.004085,4.121863
1950,-0.207999,0.045821,0.004122,4.119169
2000,-0.209265,0.046095,0.004129,4.113975
2000,0.038000,-1.246055
2050,-0.213566,0.045164,0.004152,4.110307
2100,-0.210488,0.045648,0.004062,4.111103
2150,-0.211265,0.045024,0.004163,4.112369
2200,-0.202685,0.047235,0.004138,4.113572
2250,-0.209842,0.045999,0.004032,4.115138
2300,-0.209361,0.045857,0.004118,4.116942
2350,-0.207444,0.046097,0.004085,4.118513
2400,-0.208682,0.045732,0.004064,4.120224
2450,-0.212692,0.045169,0.004120,4.121456
2500,-0.207197,0.046442,0.004004,4.122708
2500,0.037998,-1.246055
2550,-0.211246,0.045302,0.004138,4.122897
2600,-0.210195,0.045823,0.004000,4.123768
2650,-0.210400,0.045253,0.004068,4.125209
2700,-0.207196,0.046461,0.004098,4.126195
2750,-0.211847,0.044861,0.003960,4.127451
2800,-0.205227,0.047195,0.004027,4.128287
2850,-0.206680,0.046512,0.004080,4.129149
2900,-0.207815,0.045979,0.004042,4.130228
2950,-0.203414,0.047357,0.003957,4.130646
3000,-0.206317,0.046849,0.004101,4.130959
3000,0.037995,-1.246055
3050,-0.207259,0.046305,0.004051,4.130906
3100,-0.207913,0.046728,0.004175,4.131384
3150,-0.206978,0.046235,0.004025,4.132499
3200,-0.212222,0.044995,0.003907,4.132917
3250,-0.205486,0.047029,0.004061,4.133472
3300,-0.203504,0.047073,0.004049,4.134365
3350,-0.203350,0.047291,0.004145,4.135054
3400,-0.204913,0.047069,0.004084,4.135752
3450,-0.205617,0.047133,0.004208,4.135828
3500,-0.204735,0.047342,0.003983,4.136550
3500,0.038013,-1.246055
3550,-0.208284,0.046577,0.004124,4.136812
3600,-0.209981,0.045409,0.004102,4.137514
3650,-0.209359,0.046021,0.004124,4.138120
3700,-0.208501,0.046357,0.004144,4.138746
3750,-0.205450,0.046265,0.004106,4.139145
3800,-0.206556,0.046503,0.004148,4.139902
3850,-0.213317,0.044601,0.004071,4.140118
3900,-0.207560,0.045807,0.004073,4.140425
3950,-0.210554,0.045370,0.004109,4.140883
4000,-0.209275,0.045530,0.004056,4.141204
4000,0.037989,-1.246055
4050,-0.206614,0.046267,0.004133,4.140213
4100,-0.207642,0.046621,0.004090,4.140468
4150,-0.213454,0.045066,0.004056,4.140938
4200,-0.207972,0.045872,0.004143,4.141352
4250,-0.210787,0.045998,0.003996,4.141570
4300,-0.210603,0.045977,0.004031,4.142040
4350,-0.209649,0.045936,0.004086,4.142393
4400,-0.207853,0.046368,0.004053,4.142927
4450,-0.203706,0.046800,0.004079,4.143312
4500,-0.210733,0.045930,0.003957,4.143890
4500,0.037995,-1.246055
4550,-0.207652,0.047008,0.004075,4.143550
4600,-0.209764,0.046005,0.004101,4.143970
4650,-0.209891,0.045605,0.004069,4.144322
4700,-0.212672,0.044706,0.004102,4.144721
4750,-0.209325,0.045932,0.004062,4.144627
4800,-0.211133,0.045133,0.004159,4.144904
4850,-0.205392,0.047106,0.004034,4.144922
4900,-0.204539,0.047480,0.004123,4.144956
4950,-0.207705,0.046225,0.003968,4.145280
5000,-0.209659,0.045571,0.003935,4.145463
5000,0.037980,-1.246055
5050,-0.207356,0.046236,0.004113,4.144304
5100,-0.212475,0.045180,0.004122,4.144486
5150,-0.206495,0.046433,0.004125,4.144758
5200,-0.211869,0.045368,0.004127,4.144878
5250,-0.211253,0.045479,0.004095,4.145048
5300,-0.211049,0.045163,0.004074,4.145475
5350,-0.209214,0.045698,0.004091,4.145727
5400,-0.210277,0.045177,0.004034,4.146134
5450,-0.210982,0.045652,0.004000,4.146373
5500,-0.216181,0.044198,0.004167,4.146270
5500,0.037981,-1.246055
5550,-0.206798,0.046281,0.004106,4.146163
5600,-0.210999,0.045456,0.004075,4.146274
5650,-0.208914,0.046164,0.004046,4.146235
5700,-0.206543,0.046075,0.004043,4.146443
5750,-0.207054,0.046279,0.004081,4.146692
5800,-0.208561,0.046214,0.004000,4.146822
5850,-0.207659,0.046301,0.004053,4.146939
5900,-0.209245,0.045858,0.004012,4.147279
5950,-0.209765,0.045799,0.004007,4.147347
6000,-0.211236,0.045241,0.003974,4.147549
6000,0.038002,-1.246055
6050,-0.213697,0.044478,0.004076,4.146597
6100,-0.208165,0.045941,0.003999,4.146485
6150,-0.205270,0.046735,0.004052,4.146722
6200,-0.209935,0.045648,0.003992,4.146962
6250,-0.203498,0.046776,0.004091,4.147358
6300,-0.209744,0.045554,0.004038,4.147589
6350,-0.208169,0.046609,0.004075,4.147771
6400,-0.207130,0.046594,0.004019,4.147986
6450,-0.210424,0.045412,0.004056,4.148203
6500,-0.211667,0.045184,0.004105,4.148593
6500,0.037988,-1.246055
6550,-0.205294,0.047347,0.004072,4.148563
6600,-0.209294,0.045473,0.004100,4.148815
6650,-0.209253,0.045630,0.004059,4.148844
6700,-0.205373,0.046694,0.004030,4.148943
6750,-0.213821,0.044470,0.004000,4.148997
6800,-0.209815,0.045604,0.004085,4.149206
6850,-0.208722,0.045881,0.004115,4.149438
6900,-0.205239,0.046944,0.004035,4.149661
6950,-0.207363,0.046478,0.003984,4.149773
7000,-0.213312,0.044912,0.004023,4.150090
7000,0.037968,-1.246055
7050,-0.208565,0.045494,0.004068,4.149678
7100,-0.215110,0.044154,0.004042,4.149964
7150,-0.205146,0.046923,0.004111,4.150421
7200,-0.210401,0.045883,0.004032,4.150481
7250,-0.210771,0.045231,0.004047,4.150624
7300,-0.206646,0.046786,0.004143,4.150679
7350,-0.211852,0.045311,0.003997,4.150791
7400,-0.208254,0.045931,0.004099,4.151012
7450,-0.211358,0.045372,0.004030,4.150903
7500,-0.208085,0.046301,0.004021,4.151112
7500,0.038000,-1.246055
7550,-0.209670,0.046028,0.004101,4.151155
7600,-0.209017,0.045964,0.004037,4.151575
7650,-0.213863,0.044855,0.004114,4.151973
7700,-0.208481,0.046006,0.004125,4.152087
7750,-0.208481,0.046022,0.004081,4.152378
7800,-0.212068,0.045049,0.004076,4.152564
7850,-0.205136,0.047200,0.004016,4.152693
7900,-0.212352,0.044896,0.004063,4.152929
7950,-0.211326,0.045360,0.004100,4.153081
8000,-0.209880,0.045959,0.004067,4.153273
8000,0.037992,-1.246055
8050,-0.204979,0.047063,0.004030,4.152074
8100,-0.211820,0.045460,0.004075,4.152318
8150,-0.209460,0.045603,0.004062,4.152528
8200,-0.207896,0.046177,0.004152,4.152796
8250,-0.209636,0.045539,0.004031,4.152828
8300,-0.204848,0.046859,0.004105,4.152835
8350,-0.210204,0.045428,0.004128,4.153093
8400,-0.209439,0.046066,0.004058,4.153178
8450,-0.206023,0.046187,0.004101,4.153335
8500,-0.210364,0.045232,0.004065,4.153554
8500,0.037972,-1.246055
8550,-0.207298,0.046210,0.004114,4.153306
8600,-0.205582,0.046966,0.004031,4.153427
8650,-0.206559,0.046671,0.004041,4.153388
8700,-0.211153,0.045409,0.004010,4.153668
8750,-0.211556,0.045646,0.004068,4.153782
8800,-0.208610,0.045846,0.003979,4.153577
8850,-0.207147,0.046425,0.004030,4.153616
8900,-0.214146,0.044704,0.004074,4.153693
8950,-0.211617,0.045592,0.004134,4.153740
9000,-0.203012,0.047203,0.004139,4.153833
9000,0.037982,-1.246055
9050,-0.206428,0.046413,0.004064,4.153748
9100,-0.209918,0.045872,0.004099,4.153937
9150,-0.209698,0.045335,0.004100,4.154163
9200,-0.206679,0.046686,0.004119,4.154330
9250,-0.210754,0.045403,0.004077,4.154611
9300,-0.205621,0.047004,0.004095,4.154680
9350,-0.208372,0.046229,0.004107,4.154676
9400,-0.208702,0.046131,0.004037,4.154751
9450,-0.209009,0.046205,0.004043,4.154779
9500,-0.207747,0.046739,0.004049,4.154935
9500,0.037988,-1.246055
9550,-0.211260,0.045433,0.004095,4.154702
9600,-0.205674,0.046520,0.004010,4.154698
9650,-0.207996,0.046044,0.004038,4.154827
9700,-0.208900,0.046160,0.004112,4.154997
9750,-0.209509,0.045128,0.004096,4.155134
9800,-0.204870,0.046807,0.004043,4.155235
9850,-0.207320,0.046456,0.004001,4.155407
9900,-0.211412,0.045302,0.004100,4.155426
9950,-0.210982,0.045287,0.004096,4.155573
10000,-0.207050,0.046054,0.004110,4.155658
10000,0.037995,-1.246055
10050,-0.213857,0.044462,0.004027,4.154641
10100,-0.207988,0.046387,0.004058,4.154771
10150,-0.208874,0.046224,0.004025,4.154740
10200,-0.206368,0.046855,0.004030,4.154793
10250,-0.210943,0.046044,0.004106,4.154854
10300,-0.206916,0.046553,0.004123,4.154973
10350,-0.210430,0.045693,0.004104,4.155031
10400,-0.215779,0.044044,0.004080,4.155153
10450,-0.208265,0.045853,0.004085,4.155316
10500,-0.205208,0.046708,0.004064,4.155303
10500,0.038004,-1.246055
10550,-0.205164,0.046462,0.004116,4.155252
10600,-0.213500,0.044797,0.004040,4.155359
10650,-0.202189,0.047492,0.004098,4.155377
10700,-0.206358,0.046386,0.004122,4.155438
10750,-0.209720,0.046081,0.004067,4.155634
10800,-0.206503,0.046435,0.004093,4.155673
10850,-0.208889,0.046361,0.004103,4.155849
10900,-0.207902,0.045411,0.004041,4.156074
10950,-0.213125,0.044840,0.004079,4.156076
11000,-0.209574,0.046193,0.004093,4.156169
11000,0.038000,-1.246055
11050,-0.205319,0.046756,0.004044,4.156021
11100,-0.205181,0.046845,0.004141,4.156078
11150,-0.213313,0.044966,0.003915,4.156262
11200,-0.213365,0.044624,0.004130,4.156390
11250,-0.209019,0.045884,0.004111,4.156553
