step,loss,real_crps,synth_ed,steps/s,real_frac
50,-0.068912,0.044160,0.003539,2.847381,0.101562
100,-0.069040,0.048435,0.003531,3.333411,0.105469
150,-0.068793,0.044293,0.003526,3.534322,0.105469
200,-0.068564,0.046140,0.003552,3.653281,0.109375
250,-0.068794,0.045576,0.003531,3.727057,0.113281
300,-0.066993,0.047735,0.003550,3.780194,0.117188
350,-0.067883,0.047200,0.003527,3.820128,0.117188
400,-0.066731,0.045316,0.003538,3.845850,0.121094
450,-0.068572,0.044094,0.003517,3.875183,0.125000
500,-0.068416,0.046904,0.003504,3.898327,0.128906
500,0.037717,-1.275530
550,-0.068022,0.046000,0.003572,3.906432,0.132812
600,-0.069142,0.047745,0.003567,3.925825,0.132812
650,-0.067593,0.046097,0.003503,3.944116,0.136719
700,-0.068024,0.046718,0.003534,3.960233,0.140625
750,-0.068217,0.046548,0.003550,3.972267,0.144531
800,-0.067945,0.046425,0.003537,3.986248,0.144531
850,-0.069078,0.045619,0.003580,3.997981,0.148438
900,-0.068394,0.045514,0.003506,4.009569,0.152344
950,-0.067511,0.046449,0.003609,4.020626,0.156250
1000,-0.067309,0.047094,0.003562,4.030691,0.156250
1000,0.037717,-1.275530
1050,-0.067999,0.046429,0.003551,4.034367,0.160156
1100,-0.068533,0.046963,0.003506,4.045569,0.164062
1150,-0.067284,0.046321,0.003586,4.054470,0.167969
1200,-0.068720,0.045178,0.003492,4.064029,0.171875
1250,-0.068194,0.046141,0.003587,4.073078,0.171875
1300,-0.069987,0.045017,0.003603,4.081944,0.175781
1350,-0.067370,0.046362,0.003514,4.091242,0.179688
1400,-0.067359,0.046536,0.003561,4.099821,0.183594
1450,-0.068124,0.046896,0.003589,4.106564,0.183594
1500,-0.065869,0.046080,0.003799,4.115080,0.187500
1500,0.037717,-1.275530
1550,-0.066427,0.047453,0.003525,4.122118,0.191406
1600,-0.068533,0.047142,0.003567,4.130331,0.195312
1650,-0.065938,0.047423,0.003548,4.138594,0.195312
1700,-0.066369,0.046747,0.003537,4.146953,0.199219
1750,-0.068082,0.045831,0.003567,4.155110,0.203125
1800,-0.067813,0.045712,0.003589,4.161791,0.207031
1850,-0.067998,0.044224,0.003558,4.169397,0.210938
1900,-0.066692,0.046372,0.003530,4.176815,0.210938
1950,-0.067125,0.047023,0.003601,4.184702,0.214844
2000,-0.068241,0.045694,0.003507,4.192864,0.218750
2000,0.037717,-1.275530
2050,-0.067310,0.045828,0.003516,4.184535,0.222656
2100,-0.065422,0.047443,0.003580,4.179272,0.222656
2150,-0.068726,0.045319,0.003621,4.174971,0.226562
2200,-0.067615,0.045630,0.003606,4.171010,0.230469
2250,-0.064678,0.046500,0.004851,4.167533,0.234375
2300,-0.066839,0.046231,0.003580,4.164195,0.234375
2350,-0.066393,0.046119,0.003622,4.161725,0.238281
2400,-0.066391,0.046359,0.003497,4.159552,0.242188
2450,-0.066382,0.045949,0.003530,4.157825,0.246094
2500,-0.067550,0.045465,0.003529,4.156346,0.250000
2500,0.037717,-1.275530
2550,-0.066414,0.046320,0.003624,4.154248,0.250000
2600,-0.067335,0.046861,0.003533,4.153912,0.253906
2650,-0.063738,0.046761,0.006303,4.153286,0.257812
2700,-0.065929,0.046177,0.003612,4.152638,0.261719
2750,-0.065949,0.046806,0.003542,4.151641,0.261719
2800,-0.065727,0.046916,0.003551,4.152001,0.265625
2850,-0.066934,0.046008,0.003471,4.152501,0.269531
2900,-0.066147,0.045627,0.003508,4.153151,0.273438
2950,-0.065338,0.046863,0.003564,4.153920,0.273438
3000,-0.067223,0.046263,0.003534,4.155000,0.277344
3000,0.037717,-1.275530
3050,-0.067033,0.046569,0.003540,4.154414,0.281250
3100,-0.066571,0.045545,0.003670,4.155896,0.285156
3150,-0.066256,0.045900,0.003589,4.157557,0.285156
3200,-0.066442,0.045752,0.003589,4.159412,0.289062
3250,-0.066390,0.046902,0.003547,4.161288,0.292969
3300,-0.066876,0.046915,0.003506,4.163519,0.296875
3350,-0.065823,0.046282,0.003502,4.165633,0.300781
3400,-0.066681,0.046078,0.003520,4.168082,0.300781
3450,-0.065494,0.046810,0.003561,4.170556,0.304688
3500,-0.066773,0.045319,0.003545,4.173237,0.308594
3500,0.037717,-1.275530
3550,-0.065615,0.046822,0.003610,4.175325,0.312500
3600,-0.066275,0.045821,0.003586,4.178216,0.312500
3650,-0.066487,0.045858,0.003579,4.181142,0.316406
3700,-0.065710,0.046031,0.003581,4.184006,0.320312
3750,-0.064906,0.046855,0.003552,4.187009,0.324219
3800,-0.067184,0.045575,0.003574,4.190278,0.324219
3850,-0.064683,0.047380,0.003579,4.193486,0.328125
3900,-0.065842,0.047153,0.003568,4.196964,0.332031
3950,-0.065459,0.047146,0.003525,4.200584,0.335938
4000,-0.065942,0.046796,0.003589,4.203979,0.339844
4000,0.037717,-1.275530
4050,-0.063854,0.047148,0.003593,4.205720,0.339844
4100,-0.064925,0.046228,0.003564,4.209529,0.343750
4150,-0.066620,0.046594,0.003593,4.213133,0.347656
4200,-0.065581,0.045897,0.003584,4.216759,0.351562
