step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
100,0,0.000015,1.846029,0.655184,2.381689,0.550647,1.045368,1.965009,0.416680,0.209453,0.619102,0.681266,4.182223,48.986015,6.090594,320.384747,2.609787
200,0,0.000030,1.130869,0.174416,1.912906,0.152310,0.221064,1.859126,0.053780,0.221367,0.276318,0.247215,4.489644,5.625215,7.828505,249.047114,2.299227
300,0,0.000045,1.027873,0.085346,1.885055,0.089825,-0.044788,1.850906,0.034149,0.235508,0.215947,0.220847,4.185428,4.700232,8.797433,221.428224,2.401833
400,0,0.000060,0.979083,0.044210,1.869747,0.063370,-0.191597,1.843239,0.026508,0.241055,0.188662,0.193188,3.890736,4.018136,9.336347,208.468411,2.613337
500,0,0.000075,0.950456,0.013663,1.873586,0.045257,-0.315936,1.849402,0.024184,0.238633,0.167354,0.173253,3.567613,3.764342,9.685167,200.788137,3.107791
600,0,0.000090,0.928125,-0.007825,1.871901,0.033789,-0.416139,1.832142,0.039759,0.240820,0.148311,0.159367,3.341801,4.536089,9.954601,195.186131,3.704579
700,0,0.000105,0.900629,-0.021829,1.844917,0.026208,-0.480371,1.814901,0.030016,0.251719,0.135913,0.144130,3.196555,3.735685,10.153221,191.203694,4.332795
800,0,0.000120,0.881137,-0.035707,1.833688,0.019063,-0.547701,1.820812,0.012876,0.244453,0.118101,0.132468,3.114303,2.139480,10.282140,188.644249,4.932963
900,0,0.000135,0.862718,-0.044030,1.813496,0.014660,-0.586895,1.798164,0.015332,0.253242,0.106533,0.126341,2.923624,2.600925,10.387871,186.563740,5.779678
1000,0,0.000150,0.846803,-0.051334,1.796273,0.011593,-0.629275,1.781888,0.014385,0.263906,0.099419,0.120174,2.787246,2.298307,10.499498,184.421517,6.445330
1100,0,0.000165,0.844643,-0.055460,1.800207,0.009967,-0.654271,1.786158,0.014049,0.256406,0.095308,0.114320,2.639657,2.314250,10.577916,182.896765,7.102080
1200,0,0.000180,0.838175,-0.058428,1.793205,0.008746,-0.671735,1.776162,0.017043,0.263555,0.093311,0.107237,2.488948,2.403371,10.650221,181.498588,7.824733
1300,0,0.000195,0.831667,-0.060249,1.783831,0.007972,-0.682204,1.768000,0.015830,0.265547,0.089434,0.103865,2.476877,2.146855,10.699289,180.510436,8.415116
1400,0,0.000210,0.831404,-0.060588,1.783984,0.007468,-0.680558,1.772016,0.011968,0.259219,0.083418,0.105260,2.420341,1.831682,10.745891,179.572510,8.753466
1500,0,0.000225,0.828954,-0.061638,1.781184,0.007047,-0.686846,1.766453,0.014732,0.266289,0.090649,0.100789,2.373776,2.287588,10.777217,178.895910,9.700068
1600,0,0.000240,0.820650,-0.063119,1.767538,0.006980,-0.700987,1.757351,0.010186,0.272227,0.085908,0.097198,2.238907,1.796035,10.813780,178.136908,11.318201
1700,0,0.000255,0.823321,-0.064120,1.774881,0.006241,-0.703614,1.763988,0.010894,0.262266,0.078770,0.095305,2.248513,1.751668,10.879729,176.903916,12.150756
1800,0,0.000270,0.813309,-0.065413,1.757446,0.006140,-0.715538,1.746175,0.011271,0.279023,0.076968,0.094818,2.203732,1.828721,10.911960,176.228659,13.177741
1900,0,0.000285,0.813336,-0.065682,1.758035,0.006003,-0.716847,1.748036,0.010000,0.273672,0.069224,0.095210,2.208576,1.708028,10.914823,176.029721,13.783433
2000,0,0.000300,0.810755,-0.064689,1.750890,0.006193,-0.708818,1.740929,0.009961,0.279062,0.067573,0.093777,2.282607,1.707500,10.950985,175.296253,15.826204
2000,0.003540,0.003957,0.004923,-0.073705,0.004158,-0.778621,0.067759,0.295410,0.016604,2.228063,0.026247,0.097097,16.327480
2100,0,0.000300,0.811532,-0.065660,1.754385,0.005909,-0.715690,1.745221,0.009164,0.277773,0.064692,0.093253,2.290759,1.605131,10.943316,175.266805,18.278757
2200,0,0.000300,0.808655,-0.067115,1.751539,0.005608,-0.727230,1.742765,0.008774,0.276094,0.061646,0.091948,2.279158,1.422014,10.958802,174.867048,20.085365
2300,0,0.000300,0.807032,-0.065379,1.744821,0.005681,-0.710599,1.734487,0.010333,0.281445,0.063464,0.093718,2.299017,1.637494,10.989033,174.234324,20.805227
2400,0,0.000300,0.806671,-0.066995,1.747332,0.005568,-0.725628,1.739815,0.007517,0.281758,0.059573,0.091327,2.265855,1.369376,10.997914,173.942074,23.983550
2500,0,0.000300,0.802818,-0.067166,1.739967,0.005352,-0.725176,1.731648,0.008319,0.281641,0.060815,0.090277,2.290454,1.327437,11.003512,173.702123,26.185255
2600,0,0.000300,0.797921,-0.067693,1.731229,0.005296,-0.729891,1.723382,0.007847,0.286641,0.060483,0.092629,2.355184,1.370515,11.030781,173.121619,28.105411
2700,0,0.000300,0.800907,-0.068081,1.737976,0.005244,-0.733250,1.731052,0.006924,0.286641,0.061345,0.091110,2.298335,1.323005,11.040326,172.820980,29.819700
2800,0,0.000300,0.804730,-0.067174,1.743807,0.005227,-0.724005,1.737183,0.006625,0.278945,0.058076,0.090756,2.351017,1.234672,11.060537,172.354506,32.375223
2900,0,0.000300,0.800630,-0.066649,1.734559,0.005159,-0.718080,1.727397,0.007162,0.287500,0.066582,0.092653,2.411627,1.235842,11.079348,171.911435,32.109959
3000,0,0.000300,0.796250,-0.068019,1.728538,0.005105,-0.731238,1.721239,0.007299,0.291875,0.062114,0.093604,2.454513,1.411581,11.103686,171.384535,34.578175
3100,0,0.000300,0.795781,-0.068311,1.728184,0.005107,-0.734180,1.720406,0.007778,0.290586,0.057725,0.091512,2.483061,1.259092,11.108267,171.163818,39.070562
3200,0,0.000300,0.794413,-0.069100,1.727027,0.005124,-0.742238,1.720021,0.007005,0.291016,0.063018,0.090936,2.462214,1.278163,11.116199,170.891749,42.549666
3300,0,0.000300,0.790925,-0.068487,1.718825,0.005028,-0.735153,1.712759,0.006066,0.295391,0.057520,0.091722,2.541717,1.142106,11.114652,170.765577,42.884539
3400,0,0.000300,0.799063,-0.067199,1.732524,0.005026,-0.722251,1.725862,0.006661,0.285547,0.060508,0.094297,2.681078,1.197713,11.130077,170.379170,45.280184
3500,0,0.000300,0.788849,-0.067527,1.712753,0.004951,-0.724783,1.706917,0.005836,0.300547,0.060317,0.095143,2.822371,1.088306,11.134921,170.155374,46.007697
3600,0,0.000300,0.790814,-0.068345,1.718316,0.005037,-0.733811,1.712947,0.005369,0.292148,0.056299,0.096873,2.939871,1.158564,11.138339,169.953528,47.267190
3700,0,0.000300,0.790052,-0.068755,1.717615,0.004892,-0.736469,1.711724,0.005890,0.298320,0.066482,0.095030,2.903308,1.125746,11.153221,169.577325,48.606529
3800,0,0.000300,0.792639,-0.067830,1.720938,0.005041,-0.728707,1.714391,0.006546,0.286914,0.060190,0.098815,3.103874,1.212173,11.164890,169.250811,49.563754
3900,0,0.000300,0.790661,-0.068597,1.718516,0.004930,-0.735271,1.713042,0.005474,0.297109,0.058174,0.096785,3.220601,1.103974,11.176212,168.930219,52.767165
4000,1,0.000300,0.784438,-0.069403,1.707681,0.004843,-0.742458,1.701486,0.006195,0.299922,0.055361,0.096676,3.187199,1.204934,11.145211,169.250570,54.689244
4000,0.003701,0.004048,0.004620,-0.069016,0.004116,-0.731319,0.066620,0.310059,0.007708,3.278194,0.039478,0.105948,52.070327
4100,1,0.000300,0.791582,-0.068254,1.719671,0.004908,-0.731617,1.713989,0.005682,0.291172,0.055291,0.098155,3.433948,1.098821,11.148040,169.058119,56.317819
