step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
100,0,0.000015,2.234417,0.872518,2.723798,0.728941,1.435774,1.609594,1.114205,0.199102,0.772148,0.956497,3.712950,7.519027,5.493613,355.200343
200,0,0.000030,1.689544,0.395239,2.588610,0.321137,0.741019,1.606356,0.982255,0.233594,0.465156,0.434303,4.264118,4.090363,6.383448,305.425302
300,0,0.000045,0.939224,0.075132,1.728184,0.083838,-0.087061,1.511199,0.216985,0.306055,0.217021,0.275373,3.778839,1.437370,6.662053,292.402341
400,0,0.000060,0.797793,0.011651,1.572284,0.045355,-0.337044,1.482327,0.089957,0.320977,0.197578,0.282753,3.193400,1.494822,6.859417,283.746169
500,0,0.000075,0.754050,-0.017623,1.543347,0.029519,-0.471417,1.480429,0.062918,0.323242,0.173408,0.257290,2.925894,1.504723,6.863073,283.352188
600,0,0.000090,0.765171,-0.033727,1.597797,0.020656,-0.543833,1.487858,0.109939,0.321797,0.158750,0.229054,2.605011,1.685504,6.943661,279.823570
700,0,0.000105,0.718508,-0.045874,1.528765,0.014911,-0.607857,1.469014,0.059751,0.335234,0.153281,0.205084,2.275376,1.342454,6.966266,278.676331
800,0,0.000120,0.706285,-0.052374,1.517316,0.011654,-0.640275,1.470336,0.046980,0.330078,0.144014,0.188757,2.007982,1.255703,7.027587,276.007479
900,0,0.000135,0.696403,-0.058139,1.509084,0.009795,-0.679335,1.465944,0.043139,0.336562,0.143701,0.176934,1.808048,1.289077,7.032168,275.590676
1000,0,0.000150,0.691115,-0.057592,1.497414,0.008867,-0.664594,1.464425,0.032989,0.340898,0.137334,0.170574,1.729779,1.228884,7.053545,274.519191
1100,0,0.000165,0.696165,-0.058110,1.508549,0.008535,-0.666447,1.469020,0.039529,0.334375,0.135190,0.170077,1.757576,1.456619,7.055320,274.213888
1200,0,0.000180,0.689186,-0.062165,1.502702,0.007670,-0.698353,1.468140,0.034562,0.335273,0.130898,0.158459,1.667339,1.076647,7.101077,272.212222
