step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
100,0,0.000015,1.692187,0.744316,1.894841,0.297422,0.894211,1.585272,0.309569,0.270898,0.525469,0.923560,4.064696,3433.471541,4.121614,473.439101
200,0,0.000030,0.861133,0.084487,1.553637,0.116685,-0.064411,1.493135,0.060502,0.310625,0.217021,0.256359,4.074355,47.896320,4.341375,449.089695
300,0,0.000045,0.733555,-0.029346,1.525366,0.098174,-0.255065,1.489115,0.036251,0.316289,0.202422,0.254699,3.109901,17.175449,4.425409,440.185338
400,0,0.000060,0.672227,-0.088101,1.520306,0.084775,-0.345777,1.480247,0.040059,0.323203,0.184492,0.239263,2.772435,10.799573,4.474907,434.943844
500,0,0.000075,0.621055,-0.131807,1.505526,0.080879,-0.425253,1.480754,0.024772,0.324766,0.166455,0.216472,2.505974,8.073619,4.505837,431.588358
600,0,0.000090,0.583555,-0.162876,1.493018,0.077427,-0.480472,1.464659,0.028359,0.330313,0.153857,0.197529,2.438865,7.563134,4.526524,429.247716
700,0,0.000105,0.560254,-0.189526,1.499771,0.073613,-0.526230,1.454988,0.044782,0.345625,0.138540,0.184140,2.331879,7.234156,4.540690,427.541453
800,0,0.000120,0.532617,-0.211641,1.488775,0.071274,-0.565696,1.472068,0.016707,0.331602,0.131357,0.171825,2.201199,5.364646,4.547004,426.581247
900,0,0.000135,0.510703,-0.233159,1.487983,0.069102,-0.604526,1.465016,0.022967,0.331797,0.119624,0.165208,2.108137,5.716683,4.554982,425.468184
1000,0,0.000150,0.487773,-0.248994,1.473676,0.067852,-0.633593,1.449716,0.023960,0.342031,0.111973,0.161822,2.027702,5.268831,4.559282,424.701420
1100,0,0.000165,0.484551,-0.251045,1.471279,0.067334,-0.636694,1.454800,0.016479,0.341914,0.110786,0.157248,1.964245,5.379121,4.565394,423.767763
1200,0,0.000180,0.466680,-0.265195,1.463918,0.066665,-0.663500,1.445102,0.018816,0.342695,0.118262,0.154794,1.814237,4.746654,4.566684,423.283029
1300,0,0.000195,0.464082,-0.263936,1.456230,0.066484,-0.660850,1.438959,0.017271,0.349766,0.116074,0.154421,1.794377,4.639891,4.570845,422.533143
1400,0,0.000210,0.452637,-0.277422,1.460041,0.065981,-0.686784,1.442359,0.017682,0.351211,0.112915,0.151530,1.710252,4.631233,4.574608,421.821216
1500,0,0.000225,0.440078,-0.285586,1.451386,0.065435,-0.701886,1.434605,0.016781,0.351875,0.117764,0.154351,1.639338,3.992791,4.577732,421.169225
1600,0,0.000240,0.438008,-0.287910,1.451767,0.065259,-0.706429,1.433055,0.018712,0.347891,0.126138,0.153632,1.591156,4.047240,4.579288,420.662186
1700,0,0.000255,0.432539,-0.288906,1.442640,0.065205,-0.708159,1.431158,0.011482,0.350039,0.129360,0.152721,1.509667,3.798912,4.582128,420.037769
1800,0,0.000270,0.435898,-0.286680,1.445109,0.065078,-0.703357,1.428536,0.016573,0.354648,0.122446,0.164902,1.472271,4.147503,4.582908,419.602585
1900,0,0.000285,0.423652,-0.297979,1.443183,0.065024,-0.725831,1.428605,0.014578,0.352578,0.124722,0.153263,1.466749,3.595186,4.584766,419.069040
2000,0,0.000300,0.420820,-0.301309,1.444509,0.064692,-0.732073,1.430147,0.014362,0.352266,0.113848,0.155363,1.498540,3.098387,4.585485,418.639839
2000,0.004969,0.004890,0.005303,-0.378944,0.005114,-0.768115,0.066259,0.353027,0.015511,1.489201,0.078520,0.161917
2100,0,0.000300,0.417480,-0.300840,1.437080,0.064561,-0.730907,1.423117,0.013962,0.357148,0.104800,0.164487,1.483381,3.003796,4.579695,418.805190
2200,0,0.000300,0.408359,-0.306592,1.429820,0.064316,-0.741774,1.414898,0.014921,0.366992,0.109326,0.161367,1.470743,2.966158,4.581052,418.317287
2300,0,0.000300,0.413516,-0.305225,1.437540,0.064531,-0.739851,1.427633,0.009907,0.352187,0.121660,0.147635,1.471395,2.809375,4.581538,417.909157
2400,0,0.000300,0.415293,-0.302334,1.435453,0.064458,-0.733613,1.422522,0.012931,0.362617,0.117734,0.151401,1.436005,2.751553,4.581609,417.538898
2500,0,0.000300,0.398848,-0.312510,1.422884,0.064302,-0.753618,1.413114,0.009769,0.365430,0.116626,0.150297,1.454186,2.486971,4.582963,417.051850
2600,0,0.000300,0.397168,-0.311934,1.418121,0.064380,-0.752773,1.409612,0.008509,0.363984,0.119160,0.150363,1.420920,2.455559,4.583889,416.604013
2700,0,0.000300,0.400039,-0.311768,1.423424,0.064097,-0.751687,1.411321,0.012102,0.368164,0.111328,0.151731,1.453349,2.630052,4.584789,416.158769
2800,0,0.000300,0.401426,-0.308525,1.420194,0.064189,-0.745417,1.408471,0.011723,0.365430,0.111177,0.157753,1.505899,2.337873,4.585556,415.725704
2900,0,0.000300,0.395371,-0.312520,1.415732,0.064268,-0.753596,1.406449,0.009283,0.372930,0.128223,0.153604,1.449999,2.191150,4.585521,415.365384
3000,0,0.000300,0.403027,-0.304824,1.415228,0.064375,-0.738439,1.407781,0.007448,0.360781,0.114307,0.153048,1.466158,1.981490,4.586204,414.940083
3100,0,0.000300,0.395898,-0.309609,1.411156,0.064365,-0.747899,1.401341,0.009815,0.366875,0.128022,0.149338,1.463277,2.099920,4.586400,414.558953
3200,0,0.000300,0.399375,-0.312266,1.423394,0.064170,-0.752787,1.414724,0.008669,0.363633,0.132134,0.146131,1.405698,2.058438,4.587482,414.097903
