step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
100,0,0.000015,4.463750,0.737139,1.891033,0.293003,0.889149,1.589580,0.301453,0.267305,0.522383,0.913767,4.082068,3598.821919,4.003898,487.358436
200,0,0.000030,3.595781,0.080818,1.557398,0.115962,-0.070310,1.494094,0.063303,0.310117,0.221113,0.254850,4.017018,47.186561,4.198001,464.427435
300,0,0.000045,3.464844,-0.027542,1.523690,0.097769,-0.250588,1.484875,0.038814,0.319180,0.201406,0.253350,3.077894,18.940181,4.269916,456.215022
400,0,0.000060,3.384688,-0.092227,1.503237,0.084307,-0.352973,1.478573,0.024663,0.324336,0.181543,0.240857,2.739139,10.173050,4.308671,451.724787
500,0,0.000075,3.325781,-0.138208,1.492823,0.079780,-0.435860,1.471086,0.021737,0.329141,0.164727,0.223632,2.587887,7.091334,4.328549,449.265275
600,0,0.000090,3.280781,-0.172915,1.492112,0.076436,-0.498899,1.464150,0.027962,0.330664,0.151074,0.199307,2.446559,6.617037,4.344779,447.203410
700,0,0.000105,3.237812,-0.199072,1.481477,0.073018,-0.543850,1.463038,0.018439,0.334609,0.143447,0.183466,2.265115,5.359119,4.356244,445.643875
800,0,0.000120,3.197656,-0.207964,1.486439,0.071895,-0.559705,1.464560,0.021879,0.335156,0.147842,0.170615,2.076268,5.494925,4.362797,444.592421
900,0,0.000135,3.150469,-0.225625,1.479832,0.069707,-0.590829,1.456493,0.023339,0.342070,0.148857,0.172025,1.911160,4.842691,4.365954,443.889231
1000,0,0.000150,3.133281,-0.237480,1.478437,0.068252,-0.611323,1.457943,0.020494,0.336250,0.147959,0.164606,1.675182,4.925859,4.369000,443.198259
1100,0,0.000165,3.104687,-0.260918,1.486299,0.066885,-0.655588,1.466102,0.020197,0.335234,0.147827,0.159514,1.553517,5.240557,4.372809,442.431142
1200,0,0.000180,3.090313,-0.271123,1.480420,0.065913,-0.674025,1.459883,0.020537,0.331602,0.160137,0.158686,1.432159,5.637422,4.375123,441.816191
1300,0,0.000195,3.092188,-0.276533,1.476132,0.065557,-0.684219,1.455478,0.020654,0.340703,0.176260,0.155836,1.326264,5.644918,4.375839,441.362937
1400,0,0.000210,3.084062,-0.282871,1.484345,0.065356,-0.696477,1.459699,0.024646,0.336016,0.167578,0.161248,1.301092,7.432809,4.377410,440.823864
1500,0,0.000225,3.075000,-0.287412,1.478598,0.064854,-0.704520,1.453737,0.024862,0.339336,0.155088,0.161247,1.282100,6.727052,4.378157,440.367968
1600,0,0.000240,3.066562,-0.293730,1.481036,0.064902,-0.717300,1.456673,0.024363,0.336953,0.165645,0.168743,1.305944,7.678130,4.378102,439.992755
1700,0,0.000255,3.082969,-0.285205,1.500028,0.064893,-0.700233,1.466667,0.033361,0.335273,0.138433,0.179632,1.318204,9.917414,4.378298,439.592411
1800,0,0.000270,3.065781,-0.294307,1.489755,0.064795,-0.718393,1.462899,0.026856,0.334375,0.140762,0.171473,1.336647,7.433241,4.379229,439.118439
1900,0,0.000285,3.047344,-0.297607,1.481238,0.064644,-0.724462,1.457067,0.024171,0.339766,0.152725,0.162268,1.291384,6.368267,4.380765,438.583934
2000,0,0.000300,3.056094,-0.293359,1.477602,0.064800,-0.716582,1.451808,0.025794,0.345000,0.152642,0.156230,1.316053,5.845497,4.381983,438.081736
2000,0.004937,0.004815,0.005849,-0.365665,0.005210,-0.741749,0.067462,0.336914,0.033795,1.296406,0.085808,0.163543
2100,0,0.000300,3.036094,-0.301133,1.473888,0.064502,-0.731500,1.450993,0.022894,0.341758,0.147749,0.167608,1.330663,7.891470,4.374279,438.472252
2200,0,0.000300,3.037969,-0.295654,1.472273,0.064429,-0.720313,1.451383,0.020890,0.343984,0.113936,0.172359,1.381406,7.680562,4.374311,438.087997
2300,0,0.000300,3.081250,-0.293730,1.475762,0.064653,-0.716602,1.452374,0.023388,0.344648,0.143896,0.161734,1.380040,6.762203,4.375215,437.616551
2400,0,0.000300,3.082500,-0.304766,1.479344,0.064512,-0.738416,1.455812,0.023532,0.346797,0.137832,0.158493,1.372893,8.461348,4.376348,437.122455
2500,0,0.000300,3.048750,-0.301650,1.479972,0.064492,-0.732102,1.454820,0.025152,0.341523,0.131128,0.153295,1.382824,8.561101,4.377432,436.633428
2600,0,0.000300,3.000000,-0.302949,1.471186,0.064395,-0.734624,1.451142,0.020044,0.342539,0.123037,0.160365,1.423655,8.566644,4.377475,436.248398
2700,0,0.000300,3.003750,-0.307568,1.470458,0.064243,-0.743553,1.448795,0.021663,0.346250,0.147271,0.145877,1.322534,8.632709,4.378292,435.786368
2800,0,0.000300,2.997969,-0.307002,1.464476,0.064243,-0.742496,1.440467,0.024008,0.352148,0.126138,0.151192,1.416884,8.884822,4.378608,435.374293
2900,0,0.000300,3.032188,-0.304404,1.464706,0.064375,-0.737641,1.444997,0.019709,0.351328,0.140078,0.154801,1.388689,7.400320,4.378660,434.988484
3000,0,0.000300,2.991563,-0.310801,1.463414,0.064375,-0.750463,1.446905,0.016509,0.342305,0.131924,0.145741,1.393687,25.366709,4.378684,434.605424
3100,0,0.000300,2.972500,-0.304355,1.468367,0.064434,-0.737813,1.448914,0.019453,0.340234,0.133511,0.147058,1.409291,16.932783,4.378521,434.241042
3200,0,0.000300,2.967500,-0.310850,1.476945,0.064211,-0.750084,1.459095,0.017850,0.340352,0.143022,0.142747,1.372695,13.839277,4.379106,433.802360
3300,0,0.000300,2.981250,-0.308369,1.480180,0.064175,-0.745325,1.459251,0.020929,0.342031,0.135166,0.154226,1.418292,9.557539,4.379362,433.396450
3400,0,0.000300,2.964219,-0.307383,1.480861,0.064263,-0.743312,1.457299,0.023562,0.338164,0.135542,0.137606,1.415568,12.931507,4.378856,433.065921
3500,0,0.000300,2.930469,-0.306309,1.461591,0.064434,-0.741502,1.442402,0.019189,0.350117,0.143408,0.140974,1.437207,26.488680,4.379253,432.646127
3600,0,0.000300,2.910156,-0.312207,1.463727,0.064253,-0.753092,1.445186,0.018541,0.348984,0.136787,0.143973,1.486826,16.788851,4.379566,432.234658
3700,0,0.000300,2.912031,-0.307148,1.464653,0.064375,-0.742991,1.439747,0.024907,0.352383,0.135791,0.137811,1.495117,43.267367,4.379613,431.849439
3800,0,0.000300,2.908594,-0.309375,1.457110,0.064395,-0.747605,1.438283,0.018826,0.350195,0.149712,0.129256,1.451522,12.971138,4.378986,431.530669
3900,0,0.000300,2.947500,-0.312656,1.457257,0.064214,-0.754060,1.439250,0.018007,0.343672,0.127222,0.136370,1.523075,18.568819,4.379670,431.082661
