step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
100,0,0.000015,17.512500,0.940586,2.035783,0.345859,1.190010,1.664683,0.371100,0.254453,0.665566,0.712394,3.980786,1812.933668,4.217767,462.646051
200,0,0.000030,3.824844,0.206230,1.561260,0.132427,0.147750,1.497770,0.063491,0.306523,0.268955,0.276330,4.560331,9.825460,4.391094,444.004749
300,0,0.000045,3.591563,0.039373,1.536067,0.108818,-0.138902,1.487889,0.048178,0.314961,0.192617,0.229244,4.498205,7.132366,4.460550,436.717494
400,0,0.000060,3.471250,-0.058945,1.512137,0.087280,-0.292556,1.480449,0.031688,0.322266,0.161377,0.194128,4.377932,5.623990,4.490348,433.448259
500,0,0.000075,3.393906,-0.126616,1.503495,0.079482,-0.412423,1.478899,0.024596,0.321094,0.141006,0.177859,4.198592,4.743424,4.516835,430.537431
600,0,0.000090,3.332969,-0.168105,1.491662,0.074946,-0.486031,1.467704,0.023958,0.333320,0.124639,0.172875,4.086003,4.316444,4.534411,428.501068
700,0,0.000105,3.270625,-0.201631,1.489948,0.070791,-0.544854,1.468517,0.021431,0.332969,0.116289,0.165010,3.964574,3.745206,4.545612,427.078557
800,0,0.000120,3.207187,-0.223887,1.492810,0.068906,-0.585533,1.468282,0.024528,0.337852,0.110376,0.166909,3.823387,3.604722,4.551536,426.156477
900,0,0.000135,3.177812,-0.237217,1.477669,0.067334,-0.609283,1.461299,0.016370,0.337734,0.105044,0.174442,3.676045,3.480534,4.557787,425.206340
1000,0,0.000150,3.154219,-0.249590,1.476665,0.066680,-0.632253,1.455406,0.021259,0.339922,0.104541,0.170707,3.633382,3.930723,4.560186,424.617155
1100,0,0.000165,3.155469,-0.260889,1.481852,0.066084,-0.654116,1.461381,0.020470,0.332305,0.100586,0.170828,3.525517,4.529040,4.565408,423.766443
1200,0,0.000180,3.139219,-0.265840,1.478643,0.065625,-0.663046,1.456258,0.022384,0.338359,0.094282,0.173441,3.457835,4.475973,4.567501,423.207373
1300,0,0.000195,3.147813,-0.266279,1.483881,0.065552,-0.663700,1.456068,0.027813,0.341016,0.092856,0.168997,3.495289,5.389980,4.570623,422.553660
1400,0,0.000210,3.153281,-0.273223,1.487439,0.065371,-0.677369,1.462657,0.024782,0.336523,0.090806,0.168338,3.411378,5.533458,4.573305,421.941371
1500,0,0.000225,3.126719,-0.283770,1.475928,0.064897,-0.697609,1.449841,0.026087,0.337266,0.085244,0.166068,3.371866,6.494643,4.576444,421.287761
1600,0,0.000240,3.116094,-0.289375,1.479559,0.064990,-0.708761,1.460922,0.018637,0.336250,0.078364,0.164528,3.397190,6.861641,4.577078,420.865314
1700,0,0.000255,3.145625,-0.284121,1.502307,0.064985,-0.697999,1.464127,0.038181,0.335195,0.078115,0.161087,3.416982,9.895124,4.579006,420.324114
1800,0,0.000270,3.114219,-0.293828,1.484646,0.064707,-0.717242,1.461944,0.022703,0.335703,0.066516,0.163748,3.433826,6.514841,4.580769,419.798468
1900,0,0.000285,3.141719,-0.285059,1.489516,0.064834,-0.699580,1.460642,0.028875,0.338398,0.064417,0.169857,3.415138,11.240454,4.581738,419.345983
2000,0,0.000300,3.124062,-0.292295,1.492206,0.064805,-0.714134,1.457495,0.034712,0.337148,0.067014,0.159963,3.414552,10.121019,4.582835,418.881930
2000,0.006239,0.005910,0.006565,-0.366203,0.006232,-0.744870,0.067619,0.334961,0.016776,3.324241,0.076630,0.131172
2100,0,0.000300,3.157656,-0.292324,1.481244,0.064741,-0.714178,1.459052,0.022192,0.337656,0.075583,0.156436,3.431321,7.246739,4.577736,418.984363
2200,0,0.000300,3.107500,-0.295898,1.468325,0.064458,-0.720618,1.445902,0.022423,0.341797,0.075686,0.156210,3.422746,18.681816,4.579603,418.449671
2300,0,0.000300,3.097031,-0.292461,1.485029,0.064639,-0.714303,1.457912,0.027117,0.338047,0.058953,0.156327,3.430303,10.579461,4.580002,418.049343
2400,0,0.000300,3.086094,-0.291865,1.490464,0.064687,-0.713159,1.460863,0.029601,0.340039,0.060498,0.161478,3.459161,11.279591,4.580993,417.595026
