step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
100,0,0.000015,1.569155,1.117183,3.013143,0.912034,1.564930,1.946013,1.067130,0.143203,0.825234,1.244713,3.610288,8.987699,4.509506,432.715516,3.073855
200,0,0.000030,0.880129,0.439065,2.940430,0.338490,0.800315,1.944601,0.995829,0.160820,0.483184,0.338354,4.275243,3.688377,4.585734,425.159142,2.463645
300,0,0.000045,0.500596,0.134978,2.437451,0.114495,0.095366,1.914275,0.523176,0.206094,0.249863,0.234444,4.314392,1.237493,4.857736,401.009852,3.409757
400,0,0.000060,0.352666,0.051734,2.006216,0.062787,-0.195588,1.859531,0.146685,0.231328,0.203789,0.272453,3.722348,1.098180,4.957381,392.613211,3.745509
500,0,0.000075,0.300841,0.011909,1.926211,0.039907,-0.354261,1.848784,0.077426,0.236641,0.177588,0.257652,3.363478,1.030575,5.048458,385.200109,3.963646
600,0,0.000090,0.277526,-0.011044,1.923805,0.027494,-0.453849,1.848874,0.074930,0.237266,0.157803,0.224241,3.124262,0.917657,5.103322,380.732426,4.483451
700,0,0.000105,0.255464,-0.029679,1.900952,0.018959,-0.549831,1.841846,0.059106,0.244609,0.141821,0.192880,2.940286,0.834834,5.139384,377.736588,5.271749
800,0,0.000120,0.245851,-0.038590,1.896272,0.014526,-0.592815,1.846154,0.050118,0.241484,0.132427,0.165580,2.836101,0.772213,5.172760,374.977140,6.178640
900,0,0.000135,0.240015,-0.044078,1.893955,0.011925,-0.621192,1.842708,0.051247,0.242930,0.126367,0.153437,2.731895,0.744487,5.181528,374.020958,6.797867
1000,0,0.000150,0.231945,-0.048757,1.871347,0.010369,-0.650426,1.830762,0.040585,0.253008,0.118525,0.143640,2.673235,0.749396,5.203694,372.107446,7.367158
1100,0,0.000165,0.235031,-0.048781,1.892084,0.009799,-0.645284,1.839692,0.052392,0.243672,0.115684,0.139862,2.619706,0.801000,5.219908,370.632321,8.017284
1200,0,0.000180,0.228258,-0.051725,1.866556,0.008842,-0.664757,1.825678,0.040878,0.253672,0.107354,0.136235,2.595687,0.679026,5.239130,368.954370,8.264114
