step,epoch,lr,loss,ed,nll,sde_acc,vol_mse,steps/s,eta_min
42100,10,0.000092,0.593360,0.003622,-0.777822,0.415039,0.002147,4672.370025,0.685805
42200,10,0.000092,0.590821,0.003574,-0.781409,0.418555,0.002108,3280.044521,0.976410
42300,10,0.000092,0.591803,0.003551,-0.788718,0.417070,0.002057,2529.320092,1.265557
42400,10,0.000092,0.590019,0.003570,-0.778627,0.418281,0.002029,2059.950556,1.553112
42500,10,0.000092,0.588491,0.003569,-0.787544,0.422070,0.001943,1738.441729,1.839387
42600,10,0.000092,0.589064,0.003615,-0.778829,0.424961,0.001904,1505.249656,2.123236
42700,10,0.000092,0.591653,0.003543,-0.777237,0.416250,0.002380,1328.142874,2.405113
42800,10,0.000092,0.588303,0.003611,-0.784361,0.418320,0.002213,1188.808976,2.685601
42900,10,0.000092,0.592776,0.003601,-0.775055,0.419063,0.002006,1076.104381,2.965326
43000,10,0.000092,0.591000,0.003597,-0.790063,0.420117,0.002204,983.463436,3.242961
43100,10,0.000092,0.593733,0.003571,-0.773829,0.413516,0.002001,905.705383,3.519540
43200,10,0.000092,0.594160,0.003569,-0.777596,0.417812,0.002149,839.574329,3.794780
43300,10,0.000092,0.591235,0.003576,-0.779729,0.421563,0.002133,782.736479,4.068206
43400,10,0.000092,0.593215,0.003612,-0.778472,0.414453,0.002235,733.356731,4.339862
43500,10,0.000092,0.591992,0.003587,-0.777897,0.420391,0.001964,689.240206,4.615227
43600,10,0.000092,0.591980,0.003538,-0.788497,0.418438,0.002170,650.996657,4.883794
43700,10,0.000092,0.593375,0.003557,-0.776110,0.413242,0.001885,616.913411,5.150912
43800,10,0.000092,0.589391,0.003561,-0.779230,0.419414,0.001885,586.443704,5.415695
43900,10,0.000092,0.589075,0.003573,-0.782140,0.423711,0.001844,558.962273,5.678976
44000,10,0.000092,0.589011,0.003601,-0.774929,0.421992,0.002016,533.953139,5.941845
44000,-0.081076,0.003102,-0.841782,0.417480,0.004867
