step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
100,0,0.000015,2.589164,1.130846,2.916635,0.925426,1.568117,1.945957,0.970678,0.145781,0.826992,1.249518,3.610963,9.198354,4.721168,413.315770,3.076612
200,0,0.000030,1.849751,0.451375,2.796751,0.351317,0.795958,1.943382,0.853369,0.168594,0.484297,0.337433,4.275904,4.109498,5.168864,377.194424,2.462068
300,0,0.000045,1.176553,0.124767,2.103572,0.112346,0.022355,1.823912,0.279660,0.246211,0.241328,0.242775,4.205700,1.772132,5.362253,363.280153,3.587834
400,0,0.000060,0.938918,0.048063,1.781709,0.065106,-0.250064,1.663565,0.118144,0.302734,0.206279,0.290587,3.544798,1.877965,5.456760,356.682985,3.798651
500,0,0.000075,0.859056,0.011329,1.695454,0.044210,-0.398577,1.623527,0.071927,0.330078,0.184258,0.283028,3.221910,2.113543,5.499069,353.635607,4.076559
600,0,0.000090,0.878254,-0.012458,1.781424,0.032079,-0.508916,1.651296,0.130128,0.309375,0.163398,0.247287,3.018018,3.681492,5.521469,351.899133,4.558485
700,0,0.000105,0.844741,-0.031561,1.752604,0.023013,-0.604684,1.635856,0.116747,0.320312,0.148896,0.204868,2.835239,8.011126,5.564070,348.905266,5.362941
800,0,0.000120,0.812325,-0.040852,1.706354,0.018277,-0.648312,1.602191,0.104163,0.314609,0.139775,0.175562,2.755830,8.253990,5.577737,347.751567,6.260976
900,0,0.000135,0.816223,-0.047605,1.727656,0.015511,-0.686701,1.610613,0.117044,0.318437,0.132256,0.155201,2.636347,7.094048,5.573064,347.744071,7.103650
1000,0,0.000150,0.765950,-0.054096,1.640092,0.012582,-0.721067,1.568299,0.071793,0.330859,0.120562,0.135552,2.584442,6.160814,5.587036,346.576141,7.955095
1100,0,0.000165,0.754968,-0.057678,1.625292,0.011091,-0.741481,1.558131,0.067160,0.327148,0.119258,0.123304,2.522069,7.971613,5.605334,345.147419,9.695436
1200,0,0.000180,0.773491,-0.058058,1.663099,0.010962,-0.743771,1.562993,0.100105,0.324375,0.115669,0.122118,2.464435,6.542483,5.604866,344.878880,11.077016
