step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
100,0,0.000015,1.918839,1.519792,1.389628,0.489402,1.275091,1.045632,0.260636,0.596719,0.565859,0.827660,1.000000,24.034903,12.034298,84.314573,2.061285
200,0,0.000030,0.220672,0.006719,0.737046,0.138876,-0.062719,0.580178,0.085493,0.805781,0.175229,0.201418,1.000000,13.023386,16.008377,63.279370,2.012624
300,0,0.000045,-0.433150,-0.567017,0.476316,0.072771,-0.603403,0.334595,0.071269,0.890039,0.086064,0.105940,1.000000,12.872962,17.971652,56.273809,2.012180
400,0,0.000060,-0.832768,-0.950521,0.425696,0.049361,-0.975201,0.267231,0.088511,0.912539,0.051335,0.071790,1.000000,21.986161,19.146349,52.734162,2.012180
500,0,0.000075,-1.161817,-1.286974,0.464062,0.037068,-1.305508,0.237785,0.156403,0.919727,0.029633,0.054173,1.000000,27.417354,19.927663,50.582952,2.012180
600,0,0.000090,-1.415943,-1.531477,0.467417,0.031003,-1.546978,0.326512,0.071256,0.895469,0.016204,0.042572,1.000000,44.538358,20.508510,49.069061,2.012180
700,0,0.000105,-1.598805,-1.699598,0.474325,0.028037,-1.713617,0.228523,0.176182,0.918047,0.009602,0.038488,1.000000,65.917821,20.922754,48.017898,2.012180
800,0,0.000120,-1.598669,-1.709395,0.527787,0.027684,-1.723237,0.263135,0.195086,0.909414,0.005851,0.034341,1.000000,107.754779,21.252565,47.194303,2.012180
900,0,0.000135,-1.727519,-1.785572,0.402929,0.026450,-1.798798,0.202672,0.130562,0.928359,0.004105,0.034507,1.000000,106.794120,21.506079,46.560479,2.012329
1000,0,0.000150,-1.759146,-1.798692,0.370748,0.026535,-1.811959,0.189469,0.111738,0.932266,0.003628,0.034513,1.000000,93.690837,21.732603,45.998478,2.013156
1100,0,0.000165,-1.778998,-1.795218,0.346597,0.026857,-1.808647,0.186538,0.090538,0.937656,0.003080,0.034091,1.000000,90.953238,21.904068,45.562313,2.042832
1200,0,0.000180,-1.798426,-1.821784,0.385858,0.026066,-1.834817,0.192116,0.124167,0.936445,0.003034,0.034213,1.000000,88.313255,22.050259,45.184653,2.281727
1300,0,0.000195,-1.798734,-1.815554,0.375401,0.026450,-1.828779,0.210286,0.095185,0.927813,0.003098,0.033735,1.000000,105.933710,22.180377,44.844444,2.359974
1400,0,0.000210,-1.804287,-1.817688,0.360326,0.026248,-1.830812,0.183537,0.107284,0.939102,0.002877,0.034916,1.000000,124.174817,22.317472,44.494286,2.434638
1500,0,0.000225,-1.759368,-1.811928,0.514227,0.025717,-1.824786,0.207435,0.237403,0.931914,0.003114,0.033814,1.000000,130.471008,22.414743,44.226843,2.500763
1600,0,0.000240,-1.725941,-1.757375,0.438353,0.025746,-1.770248,0.243974,0.124440,0.917383,0.003706,0.030863,1.000000,169.097983,22.495633,43.993725,2.446740
1700,0,0.000255,-1.838366,-1.839993,0.358956,0.025414,-1.852700,0.215061,0.074305,0.928750,0.002999,0.034242,1.000000,106.606187,22.566051,43.782582,2.628228
1800,0,0.000270,-1.827101,-1.829133,0.370748,0.026000,-1.842133,0.211935,0.089077,0.928945,0.003376,0.033855,1.000000,151.291013,22.630839,43.583595,2.580134
1900,0,0.000285,-1.842989,-1.834063,0.351378,0.025654,-1.846890,0.224820,0.056881,0.929414,0.002824,0.034295,1.000000,115.565684,22.694954,43.387032,2.691688
2000,0,0.000300,-1.821786,-1.835109,0.420213,0.025355,-1.847787,0.258141,0.091828,0.915898,0.003534,0.031592,1.000000,146.459284,22.748856,43.210964,2.671707
2000,-1.613321,-1.629130,0.031618,0.080240,0.931641,0.480469,1.000000,0.000744,0.022145,2.013753
2100,0,0.000300,-1.864844,-1.838350,0.343052,0.025612,-1.851156,0.215612,0.057707,0.927422,0.003261,0.032465,1.000000,132.896464,22.572742,43.474264,2.673027
2200,0,0.000300,-1.871760,-1.852853,0.374860,0.025740,-1.865722,0.240843,0.064726,0.920078,0.003669,0.032625,1.000000,131.208899,22.626381,43.297541,2.695041
2300,0,0.000300,-1.885671,-1.861644,0.358654,0.025057,-1.874173,0.231996,0.056712,0.921719,0.003287,0.032430,1.000000,133.514603,22.674828,43.131528,2.796353
2400,0,0.000300,-1.888642,-1.857840,0.362190,0.025794,-1.870737,0.233679,0.059309,0.921250,0.003753,0.033678,1.000000,137.143039,22.718731,42.974819,2.846318
2500,0,0.000300,-1.897363,-1.860035,0.358027,0.025744,-1.872907,0.212421,0.076165,0.928828,0.003878,0.032895,1.000000,163.445646,22.761001,42.821784,2.813685
2600,0,0.000300,-1.899339,-1.859783,0.357807,0.025780,-1.872673,0.229620,0.058770,0.919922,0.003472,0.032074,1.000000,142.521104,22.791008,42.692276,2.686869
2700,0,0.000300,-1.899938,-1.851491,0.357685,0.025784,-1.864383,0.215774,0.072507,0.928555,0.003580,0.033325,1.000000,127.334644,22.830299,42.545799,2.885759
2800,0,0.000300,-1.903867,-1.858663,0.353176,0.025912,-1.871619,0.229791,0.054002,0.924375,0.003363,0.032759,1.000000,146.797513,22.866872,42.404868,2.804385
