step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
100,0,0.000015,-6.766680,-1.384590,0.244506,0.035338,-1.405141,0.147806,0.096701,0.950508,0.001661,0.037460,1.000000,114.089973,10.510227,64.064583,4.587192,0.009606,0.001578
200,0,0.000030,-6.826931,-1.459107,0.190345,0.035169,-1.479497,0.133046,0.057299,0.958164,0.001159,0.044295,1.000000,92.696470,13.770543,48.775613,4.008297,0.009352,0.001542
300,0,0.000045,-6.994703,-1.494022,0.322418,0.034454,-1.514304,0.129892,0.192526,0.958984,0.000840,0.042580,1.000000,80.690685,15.362391,43.613002,3.208253,0.010184,0.001088
400,0,0.000060,-7.177038,-1.510092,0.215131,0.034160,-1.530506,0.125115,0.090017,0.959531,0.000751,0.042313,1.000000,86.846472,16.300972,40.999600,3.159767,0.011112,0.000827
500,0,0.000075,-7.131588,-1.515367,0.224861,0.034212,-1.535709,0.124753,0.100107,0.958320,0.000691,0.042694,1.000000,71.799526,16.918994,39.403446,3.082139,0.010788,0.000596
600,0,0.000090,-7.234812,-1.495606,0.198089,0.035126,-1.516525,0.124239,0.073850,0.958242,0.000860,0.044091,1.000000,61.648044,17.356156,38.314935,3.093969,0.011188,0.000680
700,0,0.000105,-6.782258,-1.513984,0.231275,0.034176,-1.533971,0.127777,0.103499,0.958789,0.001314,0.043388,1.000000,154.332165,17.683843,37.510701,3.110327,0.009665,0.001742
800,0,0.000120,-7.119164,-1.512341,0.198782,0.034034,-1.531904,0.137036,0.061746,0.957305,0.001285,0.042678,1.000000,242.906740,17.939110,36.884030,3.112834,0.008487,0.001305
900,0,0.000135,-6.919550,-1.515172,0.263973,0.034041,-1.535021,0.152287,0.111685,0.952891,0.000969,0.042697,1.000000,118.330798,18.144004,36.375654,3.127070,0.009429,0.001032
1000,0,0.000150,-6.358371,-1.505183,0.286350,0.034394,-1.525155,0.167241,0.119109,0.947695,0.001079,0.043357,1.000000,150.555349,18.311613,35.951684,3.029616,0.009250,0.001439
1100,0,0.000165,-6.950690,-1.519218,0.224354,0.033687,-1.538549,0.164510,0.059844,0.949258,0.001320,0.042480,1.000000,231.110361,18.448056,35.595440,3.092063,0.008289,0.001364
1200,0,0.000180,-6.176287,-1.507731,0.302542,0.034611,-1.528094,0.210868,0.091674,0.939492,0.001273,0.042797,1.000000,153.382172,18.561944,35.287253,3.032903,0.010191,0.001734
1300,0,0.000195,-6.868402,-1.519834,0.306347,0.034084,-1.539728,0.187623,0.118724,0.950430,0.001620,0.042726,1.000000,94.570687,18.660926,35.010767,3.059676,0.009505,0.001719
1400,0,0.000210,-6.779317,-1.524564,0.349364,0.033732,-1.544210,0.185614,0.163750,0.946406,0.001994,0.043152,1.000000,125.377778,18.745563,34.763781,3.068883,0.009266,0.001481
1500,0,0.000225,-6.881768,-1.522949,0.314155,0.033629,-1.542268,0.218656,0.095499,0.934258,0.001706,0.043247,1.000000,104.419004,18.820663,34.536509,3.122019,0.008346,0.001960
1600,0,0.000240,-6.015033,-1.514541,0.280014,0.034093,-1.534488,0.203456,0.076557,0.936758,0.001848,0.043468,1.000000,293.281864,18.887612,34.325849,2.993921,0.009669,0.001539
1700,0,0.000255,-6.330415,-1.522864,0.270802,0.033886,-1.542436,0.173284,0.097519,0.944844,0.001259,0.043773,1.000000,51.843971,18.946345,34.131474,3.146560,0.008762,0.001751
