step,loss,nll,crps,mean_mse,pred_mean_std,grad_norm,mean_nu,lr,phase
50,-0.723365,-0.787162,0.068618,0.029487,0.011348,4.111422,2.636817,0.000029,A
100,-0.732927,-0.796451,0.068119,0.029464,0.012717,5.529051,2.525156,0.000059,A
150,-0.731326,-0.795705,0.068417,0.030170,0.012377,4.525434,2.542937,0.000089,A
200,-0.723566,-0.789078,0.069288,0.030868,0.012772,3.472787,2.527233,0.000119,A
250,-0.718598,-0.783394,0.069082,0.030255,0.012521,6.395400,2.597981,0.000149,A
300,-0.735799,-0.800845,0.068617,0.030738,0.013199,4.372006,2.604271,0.000179,A
350,-0.709286,-0.776038,0.070111,0.031696,0.012394,9.311429,2.624948,0.000209,A
400,-0.722061,-0.788186,0.069461,0.031395,0.011682,5.699729,2.545579,0.000239,A
450,-0.744486,-0.807641,0.067704,0.029303,0.012344,4.426981,2.557901,0.000269,A
500,-0.737597,-0.801361,0.068061,0.029734,0.012463,5.310521,2.508164,0.000299,A
550,-0.737577,-0.800321,0.067868,0.028810,0.012168,3.971864,2.654088,0.000300,A
600,-0.729992,-0.795472,0.068979,0.030990,0.011946,5.531795,2.529158,0.000300,A
650,-0.743480,-0.805981,0.067576,0.028714,0.012371,5.580567,2.611974,0.000299,A
700,-0.723405,-0.788489,0.069158,0.030505,0.012289,5.975803,2.564272,0.000299,A
750,-0.741693,-0.805689,0.068000,0.029996,0.011516,6.076665,2.573400,0.000298,A
800,-0.729878,-0.794728,0.068906,0.030397,0.012666,6.370339,2.537468,0.000297,A
850,-0.739726,-0.804480,0.068332,0.030588,0.013965,3.992231,2.564806,0.000296,A
900,-0.734090,-0.799215,0.068853,0.030698,0.011344,6.856044,2.523480,0.000294,A
950,-0.726630,-0.791601,0.069033,0.030454,0.013115,3.546063,2.562705,0.000293,A
1000,-0.757011,-0.819552,0.067058,0.029012,0.012465,4.579483,2.555758,0.000291,A
1050,-0.731397,-0.796294,0.068874,0.030460,0.010165,4.322246,2.575744,0.000289,A
1100,-0.744078,-0.807500,0.067822,0.029511,0.011848,5.863335,2.689631,0.000287,A
1150,-0.734717,-0.799102,0.068682,0.030044,0.011902,4.754257,2.594509,0.000285,A
1200,-0.726745,-0.792319,0.069223,0.030962,0.014025,4.963626,2.565965,0.000283,A
1250,-0.739612,-0.804592,0.068356,0.030802,0.013798,4.294375,2.595635,0.000280,A
1300,-0.745604,-0.808605,0.067627,0.029187,0.014174,5.434967,2.550552,0.000277,A
1350,-0.747386,-0.811582,0.068089,0.030152,0.013018,5.875002,2.576926,0.000274,A
1400,-0.735825,-0.799295,0.068315,0.029313,0.013679,5.975200,2.639127,0.000272,A
