step,loss,nll,crps,mean_mse,pred_mean_std,grad_norm,mean_nu,lr
50,-1.953111,-0.593010,0.027662,0.016213,0.005284,75.015594,3.024693,0.000007
100,-4.376623,-0.930056,0.027511,0.017278,0.006098,64.156080,3.166729,0.000015
150,-8.212439,-0.966626,0.028306,0.016057,0.009963,51.824609,3.468217,0.000022
200,-8.451008,-1.070844,0.028519,0.016401,0.005657,52.752161,3.185268,0.000030
250,-8.106914,-1.137783,0.028012,0.016234,0.005133,55.618850,2.605542,0.000037
300,-8.553737,-1.130999,0.027619,0.016880,0.005226,65.876858,2.374376,0.000045
350,-8.638111,-1.169212,0.026854,0.015934,0.005924,77.230790,2.334893,0.000052
400,-8.339293,-1.157275,0.027707,0.016452,0.006261,115.578575,2.300114,0.000060
450,-5.369960,-1.164717,0.027163,0.015979,0.007534,85.467969,2.420403,0.000067
500,-6.418168,-1.166387,0.027270,0.017212,0.007334,150.749433,2.296011,0.000075
550,-5.292886,-1.155582,0.027686,0.016775,0.008486,136.578617,2.255905,0.000082
600,-6.490226,-1.166100,0.027326,0.016993,0.008384,118.845344,2.369668,0.000090
650,-7.859321,-1.160558,0.027171,0.017261,0.007433,162.928048,2.283853,0.000097
700,-5.958974,-1.183626,0.026808,0.015680,0.006559,71.207098,2.477975,0.000105
750,-6.817103,-1.169852,0.027038,0.017167,0.007192,208.652098,2.371412,0.000112
800,-7.639584,-1.170109,0.027185,0.016522,0.009588,282.834690,2.175815,0.000120
850,-8.413069,-1.166578,0.027041,0.015740,0.005785,167.803116,2.249470,0.000127
900,-6.643369,-1.149227,0.027506,0.017158,0.005402,127.532707,2.348514,0.000135
950,-8.419431,-1.191767,0.025801,0.015002,0.006257,151.593347,2.362581,0.000142
1000,-6.126737,-1.183173,0.027040,0.015134,0.007037,125.039608,2.460807,0.000150
1050,-7.706809,-1.172800,0.026621,0.016364,0.005520,162.723077,2.403800,0.000157
1100,-3.846117,-1.184158,0.026709,0.015686,0.007690,82.134716,2.314961,0.000165
1150,-5.877866,-1.193461,0.026560,0.015317,0.006566,91.441963,2.332574,0.000172
1200,-4.035098,-1.184838,0.026822,0.015699,0.007572,62.808305,2.340631,0.000180
1250,-5.362716,-1.175681,0.027949,0.016994,0.008615,35.820357,2.335344,0.000187
1300,-8.268179,-1.163513,0.027488,0.015952,0.006344,151.150986,2.326441,0.000195
1350,-8.382829,-1.152340,0.027380,0.016345,0.007368,162.585112,2.279825,0.000202
1400,-8.098815,-1.177896,0.026635,0.015944,0.005508,120.181199,2.373170,0.000210
1450,-8.277434,-1.183245,0.026838,0.016588,0.008328,198.165543,2.368631,0.000217
1500,-8.410462,-1.179917,0.027087,0.016256,0.008939,278.598476,2.264118,0.000225
1550,-8.605670,-1.162469,0.027775,0.016387,0.006802,378.771031,2.357761,0.000232
1600,-8.413704,-1.153988,0.027297,0.016245,0.006154,405.818620,2.267826,0.000240
1650,-8.845686,-1.142095,0.027619,0.016671,0.005172,160.586725,2.289097,0.000247
1700,-8.645552,-1.154465,0.027569,0.016598,0.005150,279.337468,2.341868,0.000255
1750,-7.895999,-1.150261,0.027320,0.015571,0.006027,186.259628,2.170447,0.000262
1800,-8.248874,-1.130191,0.027638,0.017176,0.007070,160.125617,2.312039,0.000270
1850,-8.539342,-1.156837,0.027350,0.016710,0.007522,163.187572,2.190355,0.000277
1900,-8.371726,-1.179020,0.027306,0.017056,0.006565,210.700295,2.298694,0.000285
1950,-8.736231,-1.166323,0.027415,0.016123,0.006285,253.021444,2.363948,0.000292
2000,-7.807295,-1.179853,0.026803,0.015679,0.006671,143.695459,2.287823,0.000300
2050,-5.765599,-1.152621,0.027792,0.015594,0.005907,213.482653,2.317407,0.000300
2100,-6.886468,-1.164390,0.027082,0.016490,0.006424,99.870221,2.322537,0.000300
2150,-4.975860,-1.136595,0.027587,0.016732,0.004909,39.987011,2.315064,0.000300
2200,-4.721425,-1.153525,0.027269,0.016416,0.005053,123.389619,2.269841,0.000300
2250,-8.126565,-1.163884,0.027439,0.016860,0.004932,263.835935,2.301279,0.000300
2300,-7.624148,-1.124817,0.028524,0.017167,0.005283,384.326837,2.262435,0.000300
2350,-7.428822,-1.173789,0.027490,0.016813,0.007294,332.900550,2.240924,0.000300
2400,-8.555909,-1.166903,0.027345,0.016185,0.006737,322.898913,2.315288,0.000300
2450,-8.124612,-1.181153,0.026892,0.015404,0.006096,227.758243,2.324959,0.000300
2500,-8.070167,-1.175851,0.026553,0.016174,0.006874,333.136699,2.391392,0.000300
2550,-7.866201,-1.138148,0.028287,0.016781,0.005290,182.661489,2.244095,0.000300
2600,-7.797563,-1.165360,0.027206,0.016867,0.007333,178.233574,2.199193,0.000300
2650,-7.841864,-1.170718,0.027072,0.015603,0.005978,213.341981,2.337817,0.000300
2700,-6.325545,-1.182561,0.027084,0.017002,0.005885,223.578989,2.296876,0.000300
2750,-6.868044,-1.163330,0.027272,0.017117,0.006242,194.277130,2.278013,0.000300
2800,-8.710101,-1.171476,0.027429,0.017175,0.007130,306.254957,2.304026,0.000300
2850,-8.621697,-1.185799,0.027085,0.015393,0.008560,200.736205,2.237897,0.000300
2900,-8.984265,-1.188459,0.026317,0.015837,0.007501,97.591171,2.325309,0.000300
2950,-8.837065,-1.175698,0.026911,0.016027,0.007877,124.763831,2.308383,0.000300
3000,-8.687202,-1.155770,0.027351,0.017030,0.006789,258.776968,2.289896,0.000300
3050,-8.686744,-1.175523,0.026674,0.016392,0.007677,128.538369,2.242304,0.000300
3100,-8.426479,-1.193808,0.026296,0.014933,0.006319,39.959367,2.343040,0.000300
3150,-5.618135,-1.171104,0.027294,0.016637,0.005281,36.668766,2.252492,0.000300
3200,-8.192990,-1.179137,0.027104,0.016208,0.007242,122.087677,2.327955,0.000300
3250,-8.619931,-1.162157,0.027461,0.017406,0.007104,28.951355,2.327645,0.000300
3300,-7.763817,-1.186130,0.026840,0.015026,0.005732,786.210493,2.339582,0.000299
3350,-5.526172,-1.177192,0.026994,0.015275,0.007203,1183.338186,2.345991,0.000299
3400,-7.887844,-1.176010,0.027195,0.015383,0.006765,10.918431,2.406574,0.000299
3450,-7.984589,-1.162415,0.027709,0.016170,0.006418,72.152222,2.374486,0.000299
3500,-7.065441,-1.180974,0.027213,0.017580,0.007740,9.402141,2.300856,0.000299
3550,-4.353901,-1.195481,0.026848,0.015743,0.006771,14.572793,2.449836,0.000299
3600,-7.751202,-1.199666,0.026666,0.015561,0.008710,8.153885,2.331328,0.000299
3650,-7.585920,-1.179587,0.026961,0.016731,0.008669,9.594016,2.330835,0.000299
3700,-7.237111,-1.194997,0.026484,0.016303,0.008329,12.239589,2.349425,0.000299
3750,-3.679941,-1.195136,0.026687,0.015931,0.008511,7.450638,2.456502,0.000299
3800,-2.602731,-1.176738,0.027069,0.016125,0.009339,8.357245,2.341524,0.000299
3850,-4.138161,-1.187588,0.026673,0.016081,0.009870,12.133146,2.430588,0.000299
3900,-2.943653,-1.205478,0.026180,0.015522,0.008047,9.109408,2.410181,0.000299
3950,-2.474539,-1.193709,0.026638,0.015483,0.007867,12.776083,2.488046,0.000299
4000,-2.581000,-1.175777,0.027440,0.018165,0.009269,10.808354,2.384791,0.000299
4050,-2.413431,-1.179442,0.027501,0.016992,0.008333,7.610715,2.402960,0.000299
4100,-2.481553,-1.214356,0.026313,0.015446,0.007950,11.109878,2.518978,0.000299
4150,-2.595943,-1.181632,0.027502,0.017593,0.005865,67.962228,2.350311,0.000299
4200,-3.591990,-1.188599,0.027060,0.015677,0.005679,7.018556,2.434111,0.000298
4250,-2.944059,-1.196482,0.026826,0.016216,0.007714,12.658579,2.416111,0.000298
4300,-2.617999,-1.200601,0.026698,0.016900,0.007181,12.394430,2.427094,0.000298
4350,-2.408642,-1.175772,0.027555,0.017630,0.006599,9.736009,2.570776,0.000298
4400,-2.441862,-1.220278,0.026070,0.016005,0.006161,13.064513,2.507842,0.000298
4450,-2.439885,-1.213328,0.026751,0.014973,0.006823,11.403621,2.513595,0.000298
4500,-2.433053,-1.187760,0.027188,0.018306,0.007740,10.750679,2.546957,0.000298
4550,-2.485019,-1.215133,0.026540,0.016472,0.009409,7.536073,2.480077,0.000298
4600,-2.725623,-1.190452,0.027204,0.017242,0.009830,12.264130,2.441026,0.000298
4650,-2.883656,-1.207486,0.027255,0.016308,0.007460,102.791270,2.558865,0.000298
4700,-3.278404,-1.184923,0.026861,0.017055,0.009274,18.224020,2.599964,0.000298
4750,-2.800838,-1.178322,0.027561,0.016828,0.009774,8.945509,2.428424,0.000298
4800,-3.031584,-1.193331,0.027425,0.016900,0.017954,10.087598,2.498074,0.000297
4850,-3.191882,-1.189144,0.026934,0.016347,0.008583,9.393573,2.523837,0.000297
4900,-4.190992,-1.212864,0.026744,0.015058,0.009547,34.970146,2.556766,0.000297
4950,-3.170206,-1.218216,0.026419,0.016464,0.011683,12.619399,2.568215,0.000297
5000,-3.088044,-1.208467,0.026653,0.016008,0.010920,8.233850,2.537143,0.000297
5050,-2.590762,-1.207030,0.026820,0.016513,0.009583,13.104832,2.482754,0.000297
5100,-2.472761,-1.194884,0.027438,0.017307,0.008931,9.651433,2.590222,0.000297
5150,-2.552504,-1.230840,0.026219,0.015525,0.008243,13.150771,2.521668,0.000297
5200,-2.481687,-1.202730,0.026573,0.016407,0.009507,10.977101,2.591148,0.000297
5250,-2.813244,-1.210005,0.026882,0.015815,0.007518,14.189322,2.427282,0.000297
5300,-2.540996,-1.201270,0.027335,0.017419,0.009642,8.116313,2.502835,0.000297
5350,-2.719604,-1.206933,0.026337,0.016394,0.010938,12.419919,2.509521,0.000296
5400,-6.269186,-1.212177,0.027264,0.015875,0.010194,120.698360,2.410313,0.000296
5450,-3.218106,-1.212181,0.026593,0.016570,0.009543,9.632123,2.434996,0.000296
5500,-2.466793,-1.215927,0.026429,0.016273,0.008206,13.073651,2.412651,0.000296
5550,-2.444653,-1.229920,0.026256,0.014741,0.007993,15.097842,2.634518,0.000296
5600,-2.497940,-1.219292,0.026606,0.015836,0.008563,11.735680,2.598204,0.000296
5650,-2.457734,-1.167941,0.027710,0.016880,0.007013,25.583187,2.424106,0.000296
5700,-2.507845,-1.204728,0.027009,0.016328,0.009080,11.100811,2.506849,0.000296
5750,-2.589114,-1.218609,0.026949,0.015621,0.008618,8.144236,2.528066,0.000296
5800,-2.494785,-1.192563,0.026799,0.016751,0.008672,14.032755,2.472204,0.000295
5850,-2.389239,-1.193443,0.027735,0.017163,0.008586,13.328297,2.612961,0.000295
5900,-2.492684,-1.214241,0.026442,0.015661,0.007915,11.618826,2.588473,0.000295
5950,-2.475947,-1.221189,0.025868,0.016328,0.009285,12.683659,2.588184,0.000295
6000,-2.402109,-1.214998,0.026583,0.016208,0.010770,8.792102,2.633227,0.000295
6050,-2.432630,-1.220483,0.026548,0.017836,0.011326,9.497692,2.654104,0.000295
6100,-2.415422,-1.220749,0.026605,0.016633,0.008828,11.530032,2.499824,0.000295
6150,-2.443794,-1.240242,0.026291,0.016086,0.007903,14.748498,2.644133,0.000295
6200,-2.424016,-1.213214,0.026568,0.017357,0.008132,10.310677,2.498354,0.000294
6250,-2.519377,-1.237816,0.026044,0.016233,0.010354,15.693450,2.568159,0.000294
6300,-2.460748,-1.231305,0.026372,0.014930,0.009863,9.011846,2.470307,0.000294
6350,-2.507321,-1.193988,0.027110,0.017077,0.008242,13.719531,2.666271,0.000294
6400,-2.606148,-1.214870,0.026901,0.016465,0.010095,17.109253,2.474888,0.000294
6450,-4.801029,-1.214084,0.026482,0.017079,0.012307,19.015420,2.522481,0.000294
6500,-3.720317,-1.219343,0.026142,0.016306,0.008715,15.273246,2.610712,0.000294
6550,-2.738042,-1.232125,0.026429,0.016470,0.008754,12.523585,2.572606,0.000293
6600,-2.383967,-1.208718,0.026616,0.016039,0.006948,14.463617,2.608153,0.000293
