step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
50,0,0.000007,-5.851503,-0.669686,0.634136,0.071545,-0.717312,0.312668,0.321468,0.881133,0.013143,0.079970,1.000000,105.120813,7.006903,53.161860,2.571488,0.039512,0.011259
100,0,0.000015,-8.345477,-0.685019,0.881941,0.071181,-0.731276,0.380755,0.501186,0.843750,0.013380,0.075688,1.000000,84.546342,8.681145,42.813091,2.637685,0.035555,0.009347
150,0,0.000022,-9.480043,-0.696427,0.938452,0.071240,-0.744196,0.284228,0.654224,0.884805,0.013613,0.076470,1.000000,61.706368,9.433533,39.310122,2.601003,0.040496,0.008993
200,0,0.000030,-9.588035,-0.685900,0.529967,0.072915,-0.735187,0.111365,0.418602,0.963477,0.014631,0.078638,1.000000,86.127039,9.861832,37.518384,2.447800,0.042766,0.008911
250,0,0.000037,-9.598170,-0.710534,0.475124,0.071216,-0.759018,0.039472,0.435653,0.990469,0.013833,0.078013,1.000000,91.976046,10.137761,36.415010,2.418715,0.042920,0.008041
300,0,0.000045,-9.548105,-0.715228,0.553686,0.071085,-0.763292,0.021861,0.531825,0.995977,0.015007,0.078838,1.000000,89.394481,10.327568,35.665061,2.383988,0.041738,0.008524
350,0,0.000052,-9.270112,-0.702359,0.591847,0.072545,-0.753780,0.017146,0.574700,0.997695,0.016176,0.078667,1.000000,51.460463,10.462862,35.124232,2.360528,0.050492,0.008895
400,0,0.000060,-9.248036,-0.715241,0.493467,0.071240,-0.763847,0.014375,0.479092,0.999180,0.016118,0.077528,1.000000,70.638967,10.568355,34.694771,2.304524,0.043288,0.008701
450,1,0.000067,-9.603803,-0.700320,0.477280,0.072219,-0.749558,0.013419,0.463861,0.999687,0.016184,0.077879,1.000000,54.922907,10.575422,34.592789,2.358040,0.043763,0.009409
500,1,0.000075,-9.171794,-0.714471,0.379656,0.071015,-0.762133,0.009533,0.370122,0.999766,0.016189,0.077827,1.000000,28.354698,10.652613,34.263894,2.342107,0.040517,0.008552
550,1,0.000082,-9.124043,-0.708710,0.467919,0.071953,-0.758268,0.009793,0.458126,1.000000,0.016372,0.077893,1.000000,43.365571,10.717229,33.979556,2.330513,0.045273,0.008285
600,1,0.000090,-9.061451,-0.709237,0.520304,0.071606,-0.757792,0.009833,0.510471,1.000000,0.016013,0.076788,1.000000,77.647642,10.769752,33.736463,2.299931,0.042506,0.008710
650,1,0.000097,-9.020140,-0.712639,0.651138,0.071076,-0.759853,0.008002,0.643136,1.000000,0.016025,0.077411,1.000000,44.539677,10.811620,33.528741,2.311066,0.038920,0.008466
700,1,0.000105,-9.019176,-0.711167,0.378045,0.071040,-0.758374,0.005139,0.372906,1.000000,0.016219,0.078429,1.000000,161.032327,10.851841,33.327678,2.334369,0.038956,0.009745
750,1,0.000112,-9.208386,-0.719428,0.531866,0.070658,-0.766133,0.005198,0.526667,1.000000,0.016263,0.078180,1.000000,52.350437,10.887422,33.142219,2.421766,0.037923,0.009390
800,1,0.000120,-8.787667,-0.708354,0.566913,0.072076,-0.758282,0.005067,0.561846,1.000000,0.015654,0.077595,1.000000,65.362344,10.918798,32.970663,2.314340,0.046302,0.008922
850,1,0.000127,-9.193670,-0.717245,0.362449,0.071169,-0.766005,0.004934,0.357515,1.000000,0.017004,0.077510,1.000000,106.332134,10.946919,32.809840,2.337768,0.043920,0.009464
900,2,0.000135,-8.061572,-0.702543,0.470578,0.072744,-0.753484,0.004034,0.466544,1.000000,0.016263,0.078486,1.000000,75.162106,10.928895,32.787700,2.316756,0.048563,0.008953
950,2,0.000142,-9.239093,-0.704867,0.438521,0.072508,-0.756347,0.004700,0.433821,1.000000,0.016163,0.076436,1.000000,61.249117,10.950407,32.647188,2.335053,0.050752,0.009492
1000,2,0.000150,-9.531312,-0.707462,0.450113,0.071872,-0.757040,0.007093,0.443020,1.000000,0.016035,0.078685,1.000000,103.181103,10.972081,32.506748,2.331650,0.045474,0.008671
1050,2,0.000157,-9.354138,-0.719389,0.471865,0.070645,-0.765610,0.003868,0.467997,1.000000,0.015255,0.076443,1.000000,38.990447,10.901699,32.640171,2.321181,0.036329,0.008254
1100,2,0.000165,-8.868498,-0.717886,0.606707,0.070520,-0.763878,0.003420,0.603287,1.000000,0.016466,0.077074,1.000000,87.739001,10.923618,32.498390,2.311430,0.035772,0.009382
1150,2,0.000172,-8.967039,-0.711973,0.752508,0.071399,-0.762010,0.004002,0.748506,1.000000,0.015630,0.077916,1.000000,37.393598,10.943457,32.363327,2.359985,0.047793,0.008013
1200,2,0.000180,-8.408089,-0.713426,0.383010,0.071159,-0.761204,0.003289,0.379721,1.000000,0.015525,0.076702,1.000000,42.825194,10.962204,32.231962,2.310898,0.040661,0.008348
1250,2,0.000187,-9.690812,-0.720632,0.459008,0.070891,-0.767494,0.002804,0.456204,1.000000,0.016918,0.077339,1.000000,55.759875,10.978524,32.108140,2.371717,0.038055,0.009705
1300,2,0.000195,-8.602564,-0.705562,0.437259,0.071906,-0.753927,0.002841,0.434418,1.000000,0.016415,0.078610,1.000000,106.417173,10.993388,31.988926,2.319021,0.041374,0.008975
1350,3,0.000202,-8.380829,-0.700681,0.378931,0.072840,-0.751664,0.001749,0.377183,1.000000,0.014865,0.077311,1.000000,102.380268,10.975643,31.964717,2.256333,0.048545,0.008409
1400,3,0.000210,-8.330299,-0.712513,0.651918,0.071879,-0.762414,0.002393,0.649525,1.000000,0.016683,0.076356,1.000000,54.183218,10.990657,31.845231,2.325555,0.046539,0.010487
1450,3,0.000217,-8.462211,-0.707194,0.314459,0.071563,-0.755331,0.001567,0.312892,1.000000,0.015573,0.079594,1.000000,67.089486,11.004818,31.728527,2.321512,0.041187,0.009303
1500,3,0.000225,-8.271650,-0.712403,0.378676,0.071731,-0.761353,0.001664,0.377012,1.000000,0.015133,0.077251,1.000000,88.579599,11.018033,31.614838,2.282390,0.043614,0.009189
1550,3,0.000232,-8.948385,-0.718161,0.351927,0.070464,-0.763959,0.000832,0.351095,1.000000,0.016122,0.077101,1.000000,106.433740,11.030445,31.503715,2.297210,0.035219,0.009957
1600,3,0.000240,-9.415296,-0.707961,0.375077,0.072136,-0.758725,0.001185,0.373892,1.000000,0.016284,0.078505,1.000000,60.632589,11.041976,31.395348,2.326444,0.048985,0.009987
1650,3,0.000247,-9.223481,-0.713206,0.478261,0.071118,-0.760446,0.000845,0.477416,1.000000,0.017844,0.076521,1.000000,80.757616,11.052895,31.288938,2.352061,0.038938,0.009490
1700,3,0.000255,-9.397824,-0.705129,0.467459,0.072137,-0.754594,0.000748,0.466711,1.000000,0.017930,0.079697,1.000000,51.418983,11.063237,31.184362,2.305482,0.044656,0.010057
1750,3,0.000262,-7.243625,-0.708726,0.850058,0.071518,-0.758114,0.000553,0.849505,1.000000,0.016835,0.081045,1.000000,80.369054,11.073018,31.081559,2.327401,0.045431,0.009876
